"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","alpha_extrap_pooled","beta_extrap_pooled","gamma_extrap_pooled","nse_alpha_extrap","nse_beta_extrap","nse_gamma_extrap","bse_alpha_extrap","bse_beta_extrap","bse_gamma_extrap","ese_alpha_extrap","ese_beta_extrap","ese_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","alpha_extrap_no_pooled","beta_extrap_no_pooled","gamma_extrap_no_pooled","nse_alpha_extrap_no","nse_beta_extrap_no","nse_gamma_extrap_no","bse_alpha_extrap_no","bse_beta_extrap_no","bse_gamma_extrap_no","ese_alpha_extrap_no","ese_beta_extrap_no","ese_gamma_extrap_no","time_extrap","time_extrap_no"
"11428-1","light",2000,0.159,1.04228870287455,0.50352254871738,0.189460470173612,1.0704548633729,0.431992046463277,0.237033231999014,1.07263430455822,0.429769528076991,0.234851211752507,0.0331889374109275,0.0356317270043962,0.0452086763830351,0.0459280471024086,0.048724705866541,0.0648504397244496,0.031743825241506,0.0330483960754855,0.0464731551003307,1.03291315925217,0.536134233223159,0.190950241277925,1.03459404329705,0.536458320044884,0.19049122315363,0.0336818237655951,0.0407159706488432,0.0455284000832085,0.0469898841717566,0.0567519135288013,0.06375243115197,0.0328257111317741,0.039550535253021,0.0446827757619353,28.4160000000001,2.63400000000001
"11428-2","light",2000,0.144,0.986542956354745,0.542590590231647,0.282981065496371,1.0026523322344,0.523255050247741,0.326157310292152,1.00437964969738,0.522851713661424,0.326223003298139,0.0337979681779583,0.0400214663037988,0.0457117850911505,0.047078712781254,0.0562158511686288,0.0642211623629928,0.0327930449121458,0.0391456446297634,0.0451942087896233,0.972464138560586,0.582547772303257,0.27734907950373,0.973460011742555,0.580813195477171,0.278647164228612,0.034070613095725,0.0413067051970926,0.0459832498372673,0.0474521937637661,0.0592704849331376,0.0645164440900541,0.033016013974213,0.0423625462985909,0.0452603040057235,26.396,1.59100000000001
"11428-3","light",2000,0.1705,0.970360113091022,0.554401987623064,0.267815811489699,0.991986156675993,0.537511363911956,0.306562740802138,0.991008413358667,0.535359484903042,0.309216087796743,0.0351457627302303,0.0475961430285294,0.0475178465115973,0.0494980096198293,0.0722836034252318,0.0684898617609658,0.0348983677842332,0.0543092814134042,0.049398536767017,0.961572789305441,0.589643725577568,0.270374437180524,0.9634538415862,0.588998694967837,0.267579006711819,0.0352853334688539,0.0465041603636184,0.0475736592988662,0.0501344441271319,0.0685011176687846,0.0658659749733922,0.0356056282316499,0.0501624797940284,0.0455527208824153,27.5600000000001,1.61900000000003
"11428-4","light",2000,0.178,0.96190589998978,0.51426664505569,0.295752404705512,0.974309783563006,0.498668699644215,0.335311994429019,0.975929438323704,0.500067046335327,0.336241558944837,0.0339528830721405,0.0419444470969845,0.0455674960222613,0.0473667053417412,0.0622925917801241,0.0662676657829101,0.0330435043975949,0.0459372236636514,0.0481557316478116,0.962584252803423,0.494594887684091,0.296932157173312,0.964301538474521,0.492301718009834,0.299580083644843,0.0342553023283853,0.0412301621108685,0.0462649922550282,0.0494735390522243,0.0587157134783927,0.0677429989376599,0.035732757280535,0.0416995897876432,0.0495068076054213,32.0069999999999,2.30700000000002
"11428-5","light",2000,0.168,0.982293349437318,0.485158475896584,0.262795720731077,0.989783460897029,0.479689951459528,0.312140245993049,0.989733121189126,0.482004580440645,0.312283667814412,0.0346660868180045,0.0469106685783042,0.0463823574557453,0.0500811481937683,0.0695698186299011,0.067487161162359,0.0361473299475281,0.0513139084624844,0.0490444715361655,0.975899089032914,0.493203639324013,0.274219723810109,0.974847321744968,0.492714566706867,0.275080621865938,0.0347335889243388,0.0451867100625483,0.0468511284414501,0.0493663108618948,0.0676354796701569,0.0651614077682469,0.0351126059016673,0.0502628623114593,0.0453316262013598,26.8320000000001,1.56899999999996
"11428-6","light",2000,0.1765,0.952243422530314,0.551788283497859,0.289440243445962,0.965099426681818,0.553141533594723,0.335577678716695,0.964078876114285,0.55427197676517,0.334881626409827,0.0340021971423203,0.0429964203982207,0.0460348424411296,0.0486272429586199,0.0591478902926948,0.0647159695320138,0.0347963612959566,0.0404489551533822,0.0455376221221962,0.959365786243424,0.536277462431912,0.286586685619739,0.960279377334396,0.532305675331559,0.289302096980226,0.034016094749343,0.0407974887598442,0.0467731915489545,0.0480493831341685,0.0585817105708342,0.0643808923866565,0.0339285106736778,0.0419287116149558,0.0442062968047775,31.182,1.60000000000002
"11428-7","light",2000,0.1745,1.01990231916915,0.495335063216312,0.236062322016663,1.03946587434811,0.488155400808924,0.29146325409872,1.03444044622259,0.4899130850896,0.294422706826892,0.0351868819279835,0.0417701802237769,0.0473004231639985,0.0497613830608915,0.0592849848356612,0.0668825665483859,0.0351958833429846,0.0419731580916859,0.0473361115408781,1.01543684809817,0.531598285496896,0.224736758401794,1.01650014485597,0.534177581299042,0.223809485600772,0.0351956983034269,0.0409548099773236,0.0479709317184378,0.0498150588050452,0.0592459435292112,0.0684367063418916,0.0353179955922509,0.0428051824168373,0.0488788567248203,27.092,2.91999999999985
"11428-8","light",2000,0.1655,1.03114683642675,0.441662371333564,0.24293108249319,1.05518464099529,0.392103513187595,0.279307035346831,1.05729940639216,0.392102249388441,0.276826729472295,0.0339913142768252,0.040617283341509,0.0455761970376284,0.0486445280184542,0.0551893457091168,0.0678864494905491,0.0347924147903437,0.0371163447552189,0.0503242184825378,1.0350007713597,0.426656125474579,0.242524756720461,1.03544075564953,0.426971252498577,0.240324286549373,0.0343312075412917,0.041398101350971,0.0460769517109722,0.0472844373215172,0.0560367505933933,0.0651685121822412,0.0324920712573575,0.037692971211222,0.0460550224774955,29.2919999999999,1.59899999999993
"11428-9","light",2000,0.1525,0.980870546160754,0.504494653074211,0.26189597501852,0.98370890664699,0.53055728766932,0.299801756979771,0.982945213919611,0.53181507088768,0.300429425887429,0.0344160569397294,0.046209219711525,0.0466896487465489,0.0482022954892796,0.0660308565047264,0.0670940233324458,0.0338237767641486,0.0470533160866324,0.0482520005722147,0.970377386912812,0.542726564938043,0.267431612330695,0.970393253896772,0.545219900147571,0.266737953471903,0.0346421725618209,0.0458920097862559,0.0471828807417247,0.0484122565703452,0.0649499139628464,0.0645303080466346,0.0338352615588997,0.0459439109401957,0.044051998436565,25.413,1.60299999999984
"11428-10","light",2000,0.167,1.05566430305646,0.415697469122423,0.266647953163309,1.06819714018746,0.396671066221475,0.306223794846304,1.06736108922607,0.396228901891243,0.307133497591043,0.0333992189848504,0.0435115463804761,0.0458148696298463,0.0480588657710862,0.0616061074575081,0.0651952956808329,0.0345536137540022,0.0435059138876391,0.0463864684162672,1.05775636673525,0.408572699102989,0.267166168703527,1.0574224607831,0.410924350643399,0.267389660915915,0.0334550200846723,0.0422120649686234,0.0464457360197694,0.0487944368565862,0.0589789231100401,0.0657252153052899,0.0355398562883885,0.0411756903475183,0.0465339265439189,28.4590000000001,3.14700000000016
