"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr","time_aq","conv_msg_aq","time_tr"
11823,"heavy",100,0.43,1.09928420934484,0.436946195641252,0.128383505719304,1.14847484198395,0.358766395536437,0.128982219773808,0.396562546776425,0.293505135705343,0.28198696214301,1.14371076940189,0.374104796933154,0.139941235436703,0.424329651333923,0.325914454177319,0.284782620447927,1.38,NA,0.0110000000000001
11824,"heavy",100,0.42,0.952721882646379,0.437921271582143,0.314797680308076,0.908908347819973,0.450462757686973,0.360479500004677,0.377370186041811,0.318768261122487,0.290164253452857,0.844819877893365,0.521070865428603,0.360674198217625,0.412646192499021,0.35491396841004,0.289399498783841,1.073,NA,0.0110000000000001
11825,"heavy",100,0.45,1.13885322535005,0.475511889965639,0.218944646708472,1.0775882312266,0.544534502971689,0.180509156962304,0.433627881701098,0.33509558272332,0.294128710386751,1.026556369153,0.595494223125369,0.187811652569159,0.436984890412748,0.34964736546417,0.294255823493606,1.431,NA,0.011000000000001
11826,"heavy",100,0.56,0.542303642930774,0.747466219241187,0.309209323513405,0.874181469492782,0.471569809622452,0.380837392392527,0.488697770391693,0.420575070144728,0.280253954076208,0.879273230504582,0.477093208857134,0.372920561554596,0.505466619371211,0.454709838103302,0.274645557083173,1.304,NA,0.0120000000000005
11827,"heavy",100,0.51,0.973537316109152,0.591300129724003,0.117417094871911,0.66593751894595,0.701705722261202,0.275700370928331,0.371434181386752,0.22149874513498,0.262798695838897,0.642790188763371,0.756378125389221,0.241784524108066,0.384124040394073,0.235689369231712,0.263418565544425,1.478,NA,0.0120000000000005
11828,"heavy",100,0.49,0.444874695749414,0.819949540803795,0.387968624970809,0.511614097572328,0.64990668768837,0.471651975197614,0.422880759977048,0.23916293696886,0.334270024117303,0.439751920148909,0.784102273351748,0.426702204353421,0.467293928901374,0.311047100233601,0.328083516733196,1.4,NA,0.0120000000000005
11829,"heavy",100,0.53,1.33899748986268,0.305051492505589,0.171463270141544,1.46380362673852,0.185656458841634,0.15551507782698,0.397013773134533,0.292707424888359,0.293861364963428,1.47065485731218,0.189918901330649,0.162822222434076,0.408909100629432,0.314104899529088,0.297839870181542,1.439,NA,0.0120000000000005
11830,"heavy",100,0.47,0.751042685295422,0.667790729226406,0.052705622686239,0.705914613537032,0.733817733557761,0.0210021855283325,0.54407894479695,0.466785678474976,0.284396980735973,0.707548712433647,0.73702352681169,0.0296725968217718,0.544780974301519,0.472239792262243,0.277268097858545,1.261,NA,0.0109999999999992
11831,"heavy",100,0.52,0.962897204465293,0.424312651954204,0.428582741314007,0.930864912190146,0.44339652898652,0.357743609998884,0.385590893151846,0.309322037605759,0.288145356059235,0.90476614919063,0.467100346559631,0.383846879447812,0.398389980544369,0.333246295124393,0.288770328541568,1.544,NA,0.0109999999999992
11832,"heavy",100,0.55,0.83717170292819,0.596784258318665,0.709525326666746,0.42960614263638,0.939834954921023,0.741389145895688,0.428011521242414,0.35724513740966,0.268518850472126,0.385195429041537,0.985604548849125,0.765506503423734,0.425150654910972,0.364119336215427,0.272928948045244,1.402,NA,0.0109999999999992
11833,"heavy",100,0.5,0.84695166590324,0.388911943258161,0.494024383360884,0.801450470591939,0.437328902802415,0.467813044494883,0.526494514044399,0.390571250942739,0.302930143900294,0.723817536208935,0.503259659751286,0.485123878251542,0.546126493096445,0.407130405041414,0.305210615377137,1.238,NA,0.0110000000000028
