"sim","censoring","n","subdivisions","perc_censored","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","time_extrap","time_extrap_no"
"11425-1","light",500,750,0.182,1.10897461787735,0.462539146412943,0.120999806553927,0.0939675087466807,0.100231073628025,0.127003422819561,8.62599999999998,NA
"11425-2","light",500,750,0.152,0.915399971304934,0.472153167525168,0.329663520011185,0.0911359730000311,0.146930980324443,0.122812320710206,6.53300000000002,NA
"11425-3","light",500,750,0.18,0.984997858056832,0.379681279107062,0.314124599434676,0.0925754046184519,0.0976339000795492,0.133597350601846,8.57299999999998,NA
"11425-4","light",500,750,0.188,1.11700443685571,0.27907484172439,0.225883560470804,0.0946884687824803,0.08625597635571,0.128823320571617,8.85200000000009,NA
"11425-5","light",500,750,0.168,0.954153070279808,0.427087778914353,0.443043671476478,0.0922135981847678,0.103224990027109,0.128998788178008,9.35799999999995,NA
"11425-6","light",500,750,0.16,1.04498950771581,0.535540470284293,0.206028924419121,0.0951402307755323,0.0981561166878855,0.128444279401579,7.49099999999999,NA
"11425-7","light",500,750,0.164,1.0438299314774,0.339070519627819,0.385681846380091,0.0931836565384055,0.132105911777828,0.133045646677418,6.38199999999995,NA
"11425-8","light",500,750,0.184,1.021687331138,0.667679857899804,0.116215757112163,0.101659801860367,0.138783540182533,0.13560393375072,7.07600000000002,NA
"11425-9","light",500,750,0.166,0.935496953938908,0.543006584134557,0.292125795794159,0.0944799143248941,0.130622119594324,0.137930795161235,7.16899999999998,NA
"11425-10","light",500,750,0.16,1.05098099164176,0.545992619407098,0.118271754799351,0.10280986661606,0.149056589066545,0.135342484049645,6.49599999999998,NA
"11425-11","light",500,750,0.146,1.15281712353299,0.356597972221937,0.191931007404808,0.0970695380198049,0.133836571071594,0.128452542725102,6.36900000000003,NA
"11425-12","light",500,750,0.176,1.06241184166058,0.520422587776613,0.139873202099138,0.100246172210044,0.154485573122901,0.12922410489051,6.84000000000003,NA
"11425-13","light",500,750,0.202,0.963067843202167,0.522683262813526,0.319188094895434,0.0979593185012013,0.121580809615925,0.138099306668583,11.1950000000001,NA
"11425-14","light",500,750,0.182,1.16995869533379,0.488506315011554,0.0164009242329725,0.107015020504554,0.124050353584516,0.142981373342392,9.13699999999994,NA
"11425-15","light",500,750,0.166,1.0378271346129,0.40444357121322,0.17749819889924,0.0958239941507462,0.124571620987783,0.134876715762203,6.75900000000001,NA
"11425-16","light",500,750,0.152,0.858145262463133,0.586343344754039,0.298014965547108,0.102530781416969,0.1821249694435,0.140942939950175,5.54300000000001,NA
"11425-17","light",500,750,0.178,1.00440838928199,0.45644662341476,0.263640511074012,0.0964289747414534,0.140658647996982,0.135522836153258,7.27199999999993,NA
"11425-18","light",500,750,0.196,1.00408364757353,0.410207950454952,0.367489201890397,0.0983390023394098,0.13276955138561,0.131311466015547,8.976,NA
"11425-19","light",500,750,0.164,1.08989864633381,0.54435193331739,0.0834152307444398,0.0901805902849426,0.103095551398053,0.121004299050317,7.49799999999993,NA
"11425-20","light",500,750,0.142,0.991664793492709,0.485057930053107,0.305663667941225,0.0962752599631797,0.110510619538967,0.134164270634424,7.46900000000005,NA
"11425-21","light",500,750,0.154,0.976370434979102,0.56141545519994,0.235416242012811,0.0937203550843822,0.113001854270385,0.128618038449808,6.59799999999996,NA
"11425-22","light",500,750,0.156,0.992424526476552,0.566923975451945,0.301461769623033,0.0969536216329305,0.107999841849091,0.121380425520961,7.03300000000002,NA
"11425-23","light",500,750,0.172,1.01884567384213,0.664737003391356,0.153896956969509,0.103270352614133,0.13977897674714,0.126678026132778,8.59100000000001,NA
"11425-24","light",500,750,0.168,1.0360111538419,0.475823351053371,0.239319707095223,0.0947189482482009,0.119406146670266,0.130595626670159,7.01099999999997,NA
"11425-25","light",500,750,0.162,1.10491541267118,0.557450382011639,0.186602674062818,0.0965094838902307,0.11788992769785,0.130657048750964,7.80900000000008,NA
"11425-26","light",500,750,0.18,1.00907935364256,0.427244464559359,0.30949295195192,0.0945522759936414,0.123782226697986,0.124696486486521,7.10700000000008,NA
"11425-27","light",500,750,0.192,1.14878391848545,0.382200530931152,0.178880597415268,0.0914403719011932,0.0768903044624305,0.130759208892756,7.34000000000003,NA
"11425-28","light",500,750,0.16,1.04246389395268,0.507521121250609,0.278921767232651,0.0960839988814561,0.153385253871927,0.129071842553642,5.93299999999999,NA
"11425-29","light",500,750,0.154,1.06454909716844,0.350497923663732,0.261091769284675,0.0986293793643088,0.118119675281768,0.137980236162472,7.26700000000005,NA
"11425-30","light",500,750,0.182,1.03944559130081,0.458918933298012,0.211308568858625,0.0963507690297335,0.123398490192294,0.134093790808541,8.21199999999999,NA
"11425-31","light",500,750,0.16,0.928442035057432,0.307149234976552,0.423293303739212,0.092295099757341,0.127595768140095,0.124837678690366,8.45099999999991,NA
"11425-32","light",500,750,0.158,1.16571834057906,0.394315243667878,0.170010225867528,0.0985583472122357,0.10483071416113,0.136882517786543,8.16399999999999,NA
"11425-33","light",500,750,0.172,1.06545679517434,0.355169576713078,0.221813236841944,0.0954541595435436,0.141520186339194,0.125089850410934,7.85500000000002,NA
"11425-34","light",500,750,0.158,1.10228337752985,0.567315355603473,0.192460008016572,0.0976320557279404,0.128832545277937,0.134527535624623,6.61599999999999,NA
"11425-35","light",500,750,0.172,1.05784967251941,0.44155812670835,0.232742058556101,0.0944713235607589,0.117163229687104,0.130721553617222,6.79500000000007,NA
