"sim","censoring","n","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
11923,"extra_heavy",2000,0.986764446274703,1.23979598404925,0.2790233595544,0.987119231660248,1.30231377989093,0.273553273544121,0.988194269986471,1.27083274436677,0.274986890652424
11924,"extra_heavy",2000,0.966489426784303,1.144374106387,0.300046129591556,0.968685236548282,1.13108676079108,0.30111304706766,0.96355596671388,1.14409658963088,0.302587483487886
11925,"extra_heavy",2000,0.958576520631725,1.0071095518032,0.389596604826957,0.956520069092765,1.01584364813075,0.387684305652146,0.958305294415225,0.999219673105209,0.390647910672396
11926,"extra_heavy",2000,0.957932447045418,0.991633981653756,0.368936106650514,0.961883474060119,0.955795372708478,0.370546102270119,0.957077634073557,0.976851730235989,0.368999602677675
11927,"extra_heavy",2000,0.969998333784977,1.06594415048934,0.348373688198822,0.968475491386218,1.08672624831843,0.34710422461725,0.972029439379989,1.06042123702232,0.345955823507264
11928,"extra_heavy",2000,0.901477308222614,1.77336177492463,0.306655236568743,0.907506798720592,1.73213169561118,0.305844599953094,0.903648882840944,1.74666011689406,0.306382173912096
11929,"extra_heavy",2000,0.944902691354465,1.33072604775049,0.373471787538345,0.940617204365661,1.38162509663606,0.373198561822824,0.944724008976035,1.3543146393736,0.371498465741132
11930,"extra_heavy",2000,0.975533501690674,1.11470581255252,0.273692073239937,0.979290720729099,1.12184573543731,0.2765024512308,0.980407789334887,1.10578666129598,0.27222825915384
11931,"extra_heavy",2000,0.924644434875003,1.16614063441672,0.384679016009081,0.926888518514645,1.1443281516355,0.382781861799213,0.926825591902619,1.1469250630013,0.383218424118868
11932,"extra_heavy",2000,0.84867468303606,1.48549774422158,0.343779450010332,0.849969352259082,1.56011232757837,0.339016890287406,0.847933480161085,1.5332361889888,0.338866335606114
11933,"extra_heavy",2000,0.958030527615219,1.48753431896495,0.311559389723445,0.957924138476046,1.52995753632818,0.307972877632029,0.957478720446047,1.50748168130216,0.311471366503977
11934,"extra_heavy",2000,0.963366087665325,1.1164599435461,0.259404320306544,0.965652054138194,1.10216704987608,0.261037888987937,0.962236387699425,1.11025442528379,0.263318189049937
