"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr","time_aq","conv_msg_aq","time_tr"
12223,"heavy",2000,0.5135,1.03687216804711,0.493219148978183,0.264430795293207,0.976895910370974,0.507899758385359,0.292750538839231,0.0834748632132072,0.0220244002663526,0.0899767158207896,0.949134420171023,0.520319990857062,0.313509694882269,0.0835080342072379,0.0221755158106048,0.0894935316927633,35.394,NA,0.341999999999999
12224,"heavy",2000,0.5025,0.968077288163807,0.509450331757313,0.168286725957242,1.0157489333283,0.519500673662079,0.126352858964773,0.0877954258198722,0.0237457082798785,0.0911554958843763,0.980085663979015,0.53539892449282,0.150115919636052,0.0860634730006231,0.0240400931057161,0.0907887182145113,31.877,NA,0.335999999999999
12225,"heavy",2000,0.5125,1.00390415114664,0.497481483846736,0.358177159405728,1.09224675162448,0.451560068414115,0.324472475069824,0.0822682833105005,0.0200822471768998,0.0871026560164985,1.00379013764956,0.488174914085644,0.362990095193438,0.0857596013430638,0.0215708809223282,0.088007690388366,44.785,NA,0.320999999999998
12226,"heavy",2000,0.4995,0.923309103737403,0.512019422968764,0.325155282065504,1.02103165075709,0.46031203130928,0.308498957063163,0.0831584878459654,0.0200023760877815,0.0905197980711626,0.908560339097906,0.508408934775755,0.335882520055842,0.0826892123825028,0.020897565680014,0.087405995150482,47.034,NA,0.325999999999993
12227,"heavy",2000,0.4895,1.07928154635807,0.487297789140219,0.250058979385489,1.11036537878722,0.490049136919087,0.199319693835883,0.0805295727323376,0.0206668606438479,0.0869625209388298,1.0940993167838,0.496145054930076,0.21125299056837,0.0816537316148283,0.0215804782629296,0.086731421661146,30.748,NA,0.419000000000011
12228,"heavy",2000,0.5055,0.966631121818275,0.515886238861106,0.184107955711775,1.05528559790847,0.490419192483583,0.0946565881220101,0.0841078046680714,0.0207344489666622,0.0916621127386064,1.01375214311799,0.508187846556537,0.116614793490544,0.0852790021622949,0.0213997505581753,0.0904497705022136,40.933,NA,0.326999999999998
12229,"heavy",2000,0.492,0.967961369198054,0.506064419601123,0.217164790385916,0.982106083573173,0.489683174005349,0.265040300722482,0.0809646092812609,0.0202916221559157,0.0881561143375149,0.904492057026296,0.523020394439585,0.304719199127334,0.0840424458170213,0.0212945233700074,0.0855132529198368,41.974,NA,0.323000000000036
12230,"heavy",2000,0.5285,0.995979204762264,0.50503314175038,0.25294808864329,1.02403658415244,0.499840450993856,0.246574384613165,0.0868757690834424,0.0225968105484839,0.0912765381683835,1.00899817224174,0.508491964299562,0.25709343461158,0.0897744723640632,0.0224230850777211,0.0941726331252092,35.621,NA,0.328000000000031
12231,"heavy",2000,0.5145,1.03437646708308,0.495267668242463,0.220058686341368,1.1206024018095,0.458206830624065,0.189450440071423,0.0804271873840077,0.0188874797749794,0.0895361655589226,1.04042884393142,0.489699909369319,0.22311241491727,0.0832567967042032,0.0205809667523029,0.0889966762148993,49.348,NA,0.339999999999975
12232,"heavy",2000,0.5005,0.994983738293432,0.500066599499626,0.24039965915787,0.971711244539484,0.502262571170791,0.243905453718643,0.0878434069703219,0.0225540192537812,0.0890254169886649,0.861853581763061,0.547003851284432,0.284497245805843,0.087208712920319,0.0223718342186164,0.0868527538476567,37.145,NA,0.312999999999988
