"sim","censoring","n","perc_censored","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
"123-1","light",1000,0.156,1.03029974847937,0.401694084478625,0.318592814693801,1.03104500532516,0.398006545082018,0.318599546417276,1.03275537774259,0.389635903796562,0.318642261762785
"123-2","light",1000,0.146,0.942848768696163,0.50693155417555,0.273638564698259,0.942848768696163,0.50693155417555,0.273638564698259,0.942848768696163,0.50693155417555,0.273638564698259
"123-3","light",1000,0.133,0.886531019519825,0.713736264570043,0.341607493847393,0.887134343500461,0.710097902257124,0.340757759029038,0.887178640332707,0.709792204589461,0.340679842903205
"123-4","light",1000,0.124,0.951937991804155,0.498438124771124,0.29778115445478,0.951937991804155,0.498438124771124,0.29778115445478,0.951937991804155,0.498438124771124,0.29778115445478
"123-5","light",1000,0.124,0.973542711370574,0.534376400495648,0.347199694752952,0.973542711370574,0.534376400495648,0.347199694752952,0.973542711370574,0.534376400495648,0.347199694752952
"123-6","light",1000,0.143,0.964701502516343,0.611162640491429,0.193076495387883,0.964701502516343,0.611162640491429,0.193076495387883,0.964701502516343,0.611162640491429,0.193076495387883
"123-7","light",1000,0.138,0.989430993138803,0.587620523380221,0.181269762226038,0.989430993138803,0.587620523380221,0.181269762226038,0.989430993138803,0.587620523380221,0.181269762226038
"123-8","light",1000,0.144,0.932616903514659,0.586252655513777,0.316357806016064,0.932616903514659,0.586252655513777,0.316357806016064,0.932616903514659,0.586252655513777,0.316357806016064
"123-9","light",1000,0.133,0.969566414153488,0.723056221459487,0.260268557990746,0.969566414153488,0.723056221459487,0.260268557990746,0.969566414153488,0.723056221459487,0.260268557990746
"123-10","light",1000,0.138,1.05856109439589,0.469981165615552,0.298391288260591,1.05936996078263,0.466825667684691,0.298366852632109,1.060250763006,0.463405080597661,0.298343396444577
"123-11","light",1000,0.143,0.903320950561496,0.656882963221255,0.390528931043116,0.903320950561496,0.656882963221255,0.390528931043116,0.903320950561496,0.656882963221255,0.390528931043116
"123-12","light",1000,0.122,1.02096131964829,0.514982587274456,0.249233070472572,1.02170475164673,0.511221767651033,0.249124622928769,1.02213980600167,0.509043387176465,0.24906666823236
"123-13","light",1000,0.163,0.861631486186504,0.593557765708557,0.324935729668449,0.864605258645014,0.576631727547726,0.324226692490903,0.865352009363729,0.571998741227301,0.324084574504112
"123-14","light",1000,0.154,0.987657530134488,0.478568866531759,0.248453808273479,0.989596596193089,0.471015098816991,0.248114897428595,0.992414269392445,0.459758430444361,0.247759463905487
"123-15","light",1000,0.143,1.04087099332951,0.518207767521447,0.156040184438748,1.04102775200415,0.517253178490341,0.155946665753202,1.04106237931722,0.517043745431862,0.155926355273897
"123-16","light",1000,0.14,1.05036281492881,0.434126448624496,0.263054216120803,1.05036281492881,0.434126448624496,0.263054216120803,1.05036281492881,0.434126448624496,0.263054216120803
"123-17","light",1000,0.124,0.931568649964966,0.609487554943264,0.236132223265313,0.931568649964966,0.609487554943264,0.236132223265313,0.931568649964966,0.609487554943264,0.236132223265313
"123-18","light",1000,0.133,0.984674914611987,0.642083798927109,0.30584221768884,0.984959287600573,0.640643516732778,0.305719153321402,0.984987247682702,0.640502216643242,0.305707171247241
"123-19","light",1000,0.138,1.01162709995343,0.503874575363371,0.228191706837077,1.01162709995343,0.503874575363371,0.228191706837077,1.01162709995343,0.503874575363371,0.228191706837077
"123-20","light",1000,0.15,0.927481036722878,0.576041292688384,0.406242915040394,0.928308231918518,0.572467894712244,0.406012086055956,0.92932245664848,0.568113241559068,0.405739385011661
"123-21","light",1000,0.132,1.01269128578029,0.478091747068017,0.311160220213405,1.01269128578029,0.478091747068017,0.311160220213405,1.01269128578029,0.478091747068017,0.311160220213405
"123-22","light",1000,0.147,0.951183507297808,0.509328863292406,0.268900554871917,0.951183507297808,0.509328863292406,0.268900554871917,0.951183507297808,0.509328863292406,0.268900554871917
