"sim","censoring","n","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m","conv_msg_cf","conv_msg_m"
11923,"heavy",2000,1.03855406237743,0.353589649980345,0.22663562707167,1.03853706336721,0.366597358230632,0.224552652056606,NA,NA
11924,"heavy",2000,1.01421443979289,0.47174149636225,0.236897782596564,1.01290512706854,0.470378541856433,0.239663840796572,NA,NA
11925,"heavy",2000,0.96982365565685,0.596517977782531,0.275606020401431,0.965450277147566,0.611413379881185,0.274824825700622,NA,NA
11926,"heavy",2000,0.945587913687636,0.621997625608236,0.284568303796196,0.944958432747142,0.634730368302845,0.287807302791895,NA,NA
11927,"heavy",2000,1.0112101814915,0.459604127048741,0.252836794541003,1.01162249220566,0.46431284895748,0.251525174917365,NA,NA
11928,"heavy",2000,1.00525381161002,0.566038865198331,0.241393344439616,1.00593675602818,0.568333128003576,0.244039019370793,NA,NA
11929,"heavy",2000,1.00309741294334,0.531486155356314,0.276272288023829,1.00368408867961,0.547297818307456,0.276130695115878,NA,NA
11930,"heavy",2000,0.986202241934281,0.579901031841458,0.186517501886009,0.986249213902562,0.580558660291251,0.188661420246957,NA,NA
11931,"heavy",2000,0.951704819574126,0.631463810286441,0.269707735172984,0.948240761808843,0.654025808274122,0.268661897996591,NA,NA
11932,"heavy",2000,0.945883421806394,0.519506934849444,0.214140065566601,0.947037363955484,0.523573546724288,0.215122661852385,NA,NA
11933,"heavy",2000,1.01920255482661,0.58843731421544,0.251354558823203,1.01700039247929,0.609743850010229,0.253148573559882,NA,NA
11934,"heavy",2000,1.0366710805583,0.429745247294369,0.204592820384366,1.0379083184219,0.441690579973245,0.20498723920794,NA,NA
11935,"heavy",2000,0.967755997397538,0.642687667139537,0.223191057410583,0.965649298470281,0.663225700443641,0.223907244733264,NA,NA
11936,"heavy",2000,0.992395095899496,0.507468013710743,0.221522297278406,0.995402688225401,0.507207873446342,0.221242962916771,NA,NA
11937,"heavy",2000,1.07395073968271,0.31261772276315,0.191808074648173,1.07453005623306,0.315366915073103,0.190563087186771,NA,NA
11938,"heavy",2000,1.03456000925099,0.35832425474522,0.282792774829579,1.03499196988858,0.361816290221521,0.283525054786215,NA,NA
11939,"heavy",2000,0.997635278895743,0.429666787112883,0.340651319699255,0.999505354554872,0.429524010581821,0.33953999235654,NA,NA
11940,"heavy",2000,1.02634515238822,0.382228642094711,0.272931437691975,1.02532539577424,0.387625380552327,0.277274914784369,NA,NA
11941,"heavy",2000,1.08067374998328,0.499838868257711,0.209017949561786,1.08417947835291,0.494516640614022,0.206603794798825,NA,NA
11942,"heavy",2000,0.972917727502974,0.561282799915578,0.304652923040193,0.972664366037462,0.566721155948339,0.30840031156019,NA,NA
11943,"heavy",2000,1.01355881813889,0.442734416612874,0.315076325657955,1.01468632883539,0.446001953681673,0.314689483589249,NA,NA
11944,"heavy",2000,1.09786090260596,0.375154989699389,0.146458431568467,1.0996801074433,0.380043228744266,0.145699553482855,NA,NA
11945,"heavy",2000,0.991665683509871,0.431459488512615,0.254172860117847,0.988096738268305,0.457267272704015,0.256484127501704,NA,NA
11946,"heavy",2000,0.9192308256791,0.585598629138869,0.262500461957577,0.919843841627759,0.587841577858296,0.258433909849352,NA,NA
11947,"heavy",2000,0.875083285266221,0.611453608669035,0.25775773903645,0.873396717248326,0.621024384357953,0.25684178256754,NA,NA
11948,"heavy",2000,0.97400277262679,0.474010835952456,0.294443600893737,0.972827165226251,0.479691856629189,0.297054664409841,NA,NA
11949,"heavy",2000,1.02726635399933,0.406645101844987,0.25402696662425,1.02618514779495,0.418831148045685,0.254350057905822,NA,NA
11950,"heavy",2000,1.05755746953009,0.482457107025441,0.258179781272957,1.05647688648676,0.484894877733762,0.259861301121395,NA,NA
11951,"heavy",2000,0.992188544686799,0.512997172916568,0.257517573031411,0.992165478804877,0.517089479245422,0.256772370409903,NA,NA
11952,"heavy",2000,0.901360522239562,0.668856585497872,0.257550446043635,0.902106015018894,0.683113281592024,0.257895834768869,NA,NA
11953,"heavy",2000,0.966370272299624,0.602127397870035,0.266162762766574,0.963798021335162,0.614585657764829,0.268691370484389,NA,NA
11954,"heavy",2000,1.07815649683715,0.390999715226774,0.244158815260628,1.07884140145726,0.393817371760707,0.243297131026987,NA,NA
11955,"heavy",2000,0.953542863165978,0.638541844284907,0.263411868542043,0.956253789194632,0.640883895416691,0.260367728282154,NA,NA
11956,"heavy",2000,1.0277479331944,0.441698790587648,0.223083142254078,1.02782398092059,0.451024178742229,0.223862955283371,NA,NA
11957,"heavy",2000,1.02531046536418,0.663100710881082,0.202643374175813,1.0236082173799,0.664906054585237,0.204201256947246,NA,NA
11958,"heavy",2000,0.994867328556383,0.624692290200736,0.215746939877156,0.993032638923279,0.648370171433523,0.211848048984258,NA,NA
11959,"heavy",2000,1.04430649885186,0.486499128327162,0.180993774271502,1.04472084275087,0.491779641853394,0.184705619508492,NA,NA
11960,"heavy",2000,0.985346784576263,0.408046162515455,0.319973706488576,0.988622711564101,0.414736939745983,0.316782656907061,NA,NA
11961,"heavy",2000,0.986344365418891,0.46270639177654,0.302118013143563,0.983412253643228,0.483615399704708,0.302446513545919,NA,NA
11962,"heavy",2000,1.05728757333721,0.400159153671989,0.245759012626525,1.05634178780231,0.404217855063856,0.246379570338104,NA,NA
11963,"heavy",2000,0.927087114217465,0.637938204381272,0.341637069356084,0.927911932517252,0.639356474427853,0.341599564804285,NA,NA
11964,"heavy",2000,0.9866789181211,0.57134721424025,0.233372082291438,0.989779535345483,0.574030592806905,0.23366928642908,NA,NA
