"sim","censoring","n","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m","conv_msg_cf","conv_msg_m"
11923,"light",100,1.33512091816846,0.607662775373218,-0.203479933815395,1.34192550533619,0.602244270062944,-0.213986422111768,NA,NA
11924,"light",100,1.11911087336448,0.348268343478669,0.314576085698504,1.1162597339429,0.356373520548342,0.313627796490537,NA,NA
11925,"light",100,1.12546172935295,0.307131460036457,0.281485571601139,1.12663345755749,0.305411562039034,0.287027386120016,NA,NA
11926,"light",100,0.850568772001348,0.427009916309103,0.613426999693535,0.851892659471127,0.419354409415016,0.612186463867414,NA,NA
11927,"light",100,1.13371700263139,0.844694540075663,-0.112162005791128,1.13144990612526,0.845362001842295,-0.110220798378211,NA,NA
11928,"light",100,0.876306703283809,0.582172829605355,0.301267779683993,0.883884921745703,0.573195459144664,0.299329252614881,NA,NA
11929,"light",100,1.07020559538603,0.257512613106503,0.322450422943994,1.07438080878513,0.26179599977047,0.310784135867057,NA,NA
11930,"light",100,1.04521866815046,0.258099738457515,0.0402317962689863,1.04991275450287,0.253381801216736,0.0360700751712788,NA,NA
11931,"light",100,0.934021465414795,0.385801543809245,0.284566020561133,0.932751365945963,0.372427333567086,0.295463900718495,NA,NA
11932,"light",100,0.814821284653703,0.776103131756604,0.0785011922930321,0.812091812991148,0.752004398522776,0.113194504998021,NA,NA
11933,"light",100,1.28515982264116,0.142132130694318,0.0842261096245436,1.28355906910769,0.137441600959564,0.0951791772837378,NA,NA
11934,"light",100,0.823275965916742,0.300359659263491,0.144160449399105,0.814462326029812,0.322436385489247,0.140049349809106,NA,NA
11935,"light",100,0.978134919165617,0.500489559958667,0.308680612279678,0.964006294361828,0.522218726652418,0.31787949894349,NA,NA
11936,"light",100,1.07931697474646,0.528668978862068,0.0925949749567079,1.07306558988417,0.52544322929728,0.103331994055159,NA,NA
11937,"light",100,0.981165462103893,0.138145447265102,0.34538161293057,0.979077631327466,0.144380263526792,0.338706640227825,NA,NA
11938,"light",100,0.984578587922746,0.339759990117547,0.249039083475994,0.976705037116422,0.349435183684879,0.248015013966922,NA,NA
11939,"light",100,1.06145866113953,0.320883411830141,0.298255992550612,1.05806999912668,0.315401148276789,0.29798655583818,NA,NA
11940,"light",100,0.749624546475829,0.351497540459407,0.806349860876399,0.758536630401192,0.351432634761972,0.799834128848728,NA,NA
11941,"light",100,1.03574247280243,0.257093794397819,0.358572046026096,1.04217315912749,0.260183957031348,0.34799076951858,NA,NA
11942,"light",100,1.10755565536768,0.305640938765164,0.292490834346686,1.12474115443103,0.281721685533782,0.281223254352012,NA,NA
11943,"light",100,1.05536679208317,0.0607882205617972,0.382464958404589,1.04489072272474,0.0791641494753815,0.380764290113614,NA,NA
11944,"light",100,0.810760522979628,0.428344937523414,0.192071228555948,0.814925702187172,0.438824705313784,0.190741088523636,NA,NA
11945,"light",100,1.00404699270235,0.591006673760588,0.00985181894068455,1.01155411153407,0.598539252600143,0.00209428669889175,NA,NA
11946,"light",100,1.30600039806289,0.219346049926951,0.164034334078319,1.31406640828994,0.21352640234534,0.170316447529358,NA,NA
11947,"light",100,1.0301224763039,0.41114553564021,0.357968818155404,1.03936360207323,0.416354819606931,0.346842285546338,NA,NA
11948,"light",100,1.15846799270256,0.727160195524133,-0.200346083604513,1.16175252282718,0.750898114497187,-0.196816982425767,NA,NA
11949,"light",100,1.15740397974963,0.448123649627891,0.049262989641033,1.15173847324544,0.466201896315529,0.0366218403554132,NA,NA
11950,"light",100,1.01449892522189,0.425272422753554,0.188486467394586,1.02811115353595,0.435540553885327,0.181972076149062,NA,NA
11951,"light",100,0.93724327464956,0.23891875426268,0.211856552383035,0.928221774126048,0.241134436987068,0.222628186489506,NA,NA
11952,"light",100,0.9425395857492,0.667537110022787,-0.107492996657646,0.940359108103581,0.694828778074908,-0.125988694817297,NA,NA
11953,"light",100,1.20663403193535,0.261960301906116,0.0672703502724455,1.2121370430936,0.258986714011926,0.0633760923132742,NA,NA
11954,"light",100,0.991296433408608,0.519045110645188,0.413644432044051,1.00043774847777,0.516302331106583,0.405996484558199,NA,NA
11955,"light",100,0.656129576851874,0.519933170074061,0.396673834561447,0.66040661157366,0.519672446999394,0.399049753087412,NA,NA
11956,"light",100,1.04116915727004,0.355033896068207,0.423102453775126,1.03345762931628,0.353571959730252,0.434255311236416,NA,NA
11957,"light",100,1.27314781915517,0.308632956843053,0.0700451746197518,1.29105318267406,0.287012987481653,0.0779284841368389,NA,NA
11958,"light",100,0.99177705533006,0.156800039089254,0.321008463156672,0.996103267124411,0.161198565410572,0.319643488237835,NA,NA
11959,"light",100,1.30461114497575,0.272575177066255,0.171260118926859,1.30718292368863,0.285473306520447,0.15366631759157,NA,NA
11960,"light",100,1.14003162533202,0.421850207482545,0.159387476559631,1.14585451529988,0.420751586498945,0.155835686071753,NA,NA
11961,"light",100,1.11661264091212,0.452476084014607,0.209737938363049,1.10447799746756,0.460067799537363,0.22164722947079,NA,NA
11962,"light",100,1.19832917630052,0.184828014776093,0.263876182838412,1.20937535503138,0.177249533092908,0.258646077860275,NA,NA
11963,"light",100,0.930003413772909,0.416201443808738,0.427920332865615,0.917643759249412,0.40733702133086,0.448186739998418,NA,NA
11964,"light",100,1.13316980298261,0.448879925245262,0.0350440133260599,1.14397343455146,0.445646185710133,0.0224354156780648,NA,NA
11965,"light",100,1.11757611007662,0.368778098849355,0.058407428256481,1.13183352433286,0.369555132145307,0.0559280251410465,NA,NA
11966,"light",100,1.10604884299673,0.583830555976942,0.0349782241153352,1.09624243715925,0.590153368547161,0.0348710399952383,NA,NA
11967,"light",100,0.844943332707252,0.456266306930533,0.663379513170486,0.85221896320789,0.446874811582274,0.667177698076172,NA,NA
11968,"light",100,0.959527759868954,0.444529886338872,0.313156220999879,0.965457822915238,0.441116249061931,0.309051649697522,NA,NA
11969,"light",100,1.0373822999099,0.478075542695253,0.422871621197622,1.03493342390858,0.484583308730189,0.420411505474595,NA,NA
11970,"light",100,1.00641221005939,0.416415886382337,0.280224751478455,1.00468427093275,0.401845148422697,0.303082467042604,NA,NA
11971,"light",100,0.940714821804115,0.493312389533916,0.173312786544975,0.943977873936959,0.494071646232236,0.170465890294532,NA,NA
11972,"light",100,1.02886541903414,0.540884307114936,0.112519928641374,1.02818513612629,0.548701412672669,0.119773626435602,NA,NA
11973,"light",100,0.632671470479648,0.798273767219202,0.506116652764984,0.625109387544216,0.799747397162314,0.528213346279803,NA,NA
11974,"light",100,1.0358008439694,0.343619391859393,0.298893466207758,1.03653584908698,0.336034661345043,0.301351167492751,NA,NA
11975,"light",100,1.15305140112904,0.49176148656279,0.122143427243469,1.16406021695878,0.482646462711086,0.11250761440993,NA,NA
11976,"light",100,1.29477833273619,0.420708186964344,-0.0346200126974568,1.29482227403712,0.411659793379118,-0.0132325093882072,NA,NA
11977,"light",100,0.921817410783832,0.70154734844211,0.348802320543896,0.91734018593069,0.70393754103035,0.353921516639992,NA,NA
11978,"light",100,1.21623647599421,0.10748690278139,0.410350752564164,1.20819871450711,0.119217108149307,0.419782337968265,NA,NA
11979,"light",100,1.05156050833156,0.32804949688841,0.35197049207963,1.06184547442816,0.319310360688553,0.338174649671965,NA,NA
11980,"light",100,1.08503624134532,0.205912916294172,0.398813992671677,1.08244840439541,0.201891403532646,0.408728598787204,NA,NA
11981,"light",100,0.783602690960486,0.719363928065084,0.429641659088768,0.776251358818131,0.7267851293758,0.440616525944255,NA,NA
11982,"light",100,0.972559444259009,0.569658837297384,0.275200043881959,0.971242017361275,0.592460018422638,0.262870505066239,NA,NA
11983,"light",100,1.11190486562781,0.767982678826151,0.0391226324131954,1.11504004345628,0.775698613175483,0.0256894610200627,NA,NA
11984,"light",100,0.932264782057538,0.185075929943801,0.417215344318884,0.939591476747563,0.182245268099493,0.401024493714517,NA,NA
11985,"light",100,1.2345144283973,-0.04397699069788,0.308208437195296,1.25699975883512,-0.0435947935205504,0.294993432328739,NA,NA
11986,"light",100,1.25917396288154,0.0824905340954836,0.427267637096419,1.25933516338186,0.0891103871429795,0.417324972131563,NA,NA
11987,"light",100,0.840439463924518,0.37582500246059,0.413776603046055,0.834418641532968,0.391965057410356,0.416707496627093,NA,NA
11988,"light",100,1.208540356934,0.323727497382953,-0.0991877413427204,1.20104186336071,0.331359347338104,-0.0924723630555123,NA,NA
11989,"light",100,1.17789406529155,0.255381880542297,0.207364956168247,1.17429815516474,0.251392743463292,0.21545137850597,NA,NA
11990,"light",100,0.983435613387203,0.786087315906365,0.0992824534588613,0.993573045317669,0.792268728868625,0.0884430785032565,NA,NA
11991,"light",100,1.32079197185943,0.436616046096067,-0.0804258258265418,1.3315680747898,0.414849907286776,-0.0833267195155348,NA,NA
11992,"light",100,0.835980638010753,0.443755075198641,0.620234689466065,0.823807058417104,0.459908751869468,0.620451071262823,NA,NA
11993,"light",100,1.25770691368238,0.229316608779093,0.0386750386869408,1.25454740411584,0.222408826342415,0.0388679344906792,NA,NA
11994,"light",100,1.05214374009757,0.665548863962149,0.1695476085355,1.05575705182972,0.677696633534217,0.159904220168766,NA,NA
11995,"light",100,1.02217563885434,0.249384787965488,0.400502123102961,1.0286861268216,0.249295133475745,0.395852000287951,NA,NA
11996,"light",100,1.01116346324932,0.988177770922269,0.369196714722437,1.00894698999734,0.971621945422509,0.389225133784482,NA,NA
11997,"light",100,0.824563150363566,0.508065189438847,0.58557816401916,0.819357909099668,0.5067784476727,0.59311707994583,NA,NA
11998,"light",100,1.02378191605481,0.736637743593188,-0.091991737510643,1.0358011969546,0.742500530145387,-0.0942988437923154,NA,NA
11999,"light",100,1.05568635663658,0.299927594693204,0.040771845469179,1.06021459868095,0.301552754440274,0.041073640390998,NA,NA
12000,"light",100,0.877509416334378,0.288289115659962,0.654969936975769,0.882631407782785,0.29847302846766,0.652059326188562,NA,NA
12001,"light",100,1.20835450527272,0.121546129829241,0.372047103240984,1.19793777723588,0.121041746266821,0.385153452740958,NA,NA
12002,"light",100,1.22538165054161,0.214266416222869,0.424555902335081,1.22385626085628,0.215489078181883,0.411950300857037,NA,NA
12003,"light",100,0.995837563889437,0.0568594372913597,0.466615800027903,0.982139053506318,0.0636544073404731,0.482354250725527,NA,NA
12004,"light",100,1.02410325994898,0.211093255213187,0.470503069501231,1.02841958182925,0.189365310531163,0.489953326050399,NA,NA
12005,"light",100,0.99895502067598,0.387810362971479,0.465578543226813,1.00036232373136,0.388227330589704,0.46956829677667,NA,NA
12006,"light",100,1.16789383176875,0.222695583701826,0.0949115841220406,1.17250943555217,0.204183336396637,0.104224884264112,NA,NA
12007,"light",100,1.14671699470241,0.826860950561854,0.185584553284253,1.14786807666181,0.838068498291687,0.184489637060313,NA,NA
12008,"light",100,1.11225426749124,0.464267056403599,0.149076616205213,1.09761641494129,0.480339005686844,0.157375970867243,NA,NA
12009,"light",100,1.02924409124891,0.558082264135542,0.229221049921903,1.02621001708607,0.549608543670342,0.239326374689694,NA,NA
12010,"light",100,0.85451859055915,0.813382833010328,0.243419582717519,0.852622807536042,0.835732239757726,0.239900893797615,NA,NA
12011,"light",100,1.02268573733094,0.251816057813286,0.209269905490322,1.0174711674028,0.244301712408291,0.228855030685108,NA,NA
12012,"light",100,1.23785661740026,0.430380912984186,0.0834523185232815,1.23036051529713,0.426603975861199,0.0960321099951188,NA,NA
12013,"light",100,0.92109099491244,0.254295664483448,0.399765528810858,0.913363104313072,0.274363022311995,0.403783069630687,NA,NA
12014,"light",100,0.716233977437121,0.397568105436067,0.551105528568095,0.716100846076103,0.417303947120224,0.55931074696819,NA,NA
12015,"light",100,1.09566836529705,0.228358803824927,0.202001614581825,1.09445630708081,0.246475242695594,0.188655536395771,NA,NA
12016,"light",100,0.959981154867102,0.614056234754719,0.0958719773643885,0.974733505257336,0.584334322638979,0.0981735289287186,NA,NA
12017,"light",100,1.07254517883389,0.524118453433553,-0.00536263228961787,1.08264963207799,0.514442453303914,-0.0170684242906905,NA,NA
12018,"light",100,1.01954218687361,0.692020952748661,0.00465682601211103,1.01384447579921,0.706043727162226,0.0120570721683384,NA,NA
12019,"light",100,1.02789075977044,0.338693114557633,0.542442363606724,1.04392155960563,0.328231010013414,0.531176446369748,NA,NA
12020,"light",100,0.955540283083664,0.393695440678342,0.555263998898761,0.946352998620947,0.380762586418793,0.574402759880851,NA,NA
12021,"light",100,0.984988655780088,0.899746199018237,0.251397746255637,0.980514615218408,0.887918736143762,0.263562128534336,NA,NA
12022,"light",100,0.914061410955898,0.921662957458069,0.138989598401619,0.902430611468053,0.947386939437004,0.151398084626221,NA,NA
