"sim","censoring","n","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m","conv_msg_cf","conv_msg_m"
12123,"extra_heavy",2000,0.90758376484802,0.843904908739698,0.219242487193504,0.907456104541394,0.856513432210887,0.220556089427077,NA,NA
12124,"extra_heavy",2000,0.970635588437554,1.07258275159766,0.247769423435536,0.972196558612062,1.08703635091111,0.244073635883867,NA,NA
12125,"extra_heavy",2000,1.00821959479192,0.526475760341425,0.427227148943655,1.0106570505879,0.541331314040645,0.42277029897025,NA,NA
12126,"extra_heavy",2000,1.0132087441053,0.382588109846551,0.225440498664231,1.01271726779027,0.383117787639137,0.22675313788752,NA,NA
12127,"extra_heavy",2000,0.996050457361275,0.51263153015662,0.317416207464038,0.994720702580088,0.5188374178216,0.315541320380445,NA,NA
12128,"extra_heavy",2000,0.906327155214743,1.45800469804337,0.27185378106062,0.90660915755366,1.49057354557804,0.270905589314193,NA,NA
12129,"extra_heavy",2000,0.951171479362008,0.803403281199432,0.327205528721113,0.952005511581322,0.821886545466253,0.323184753774416,NA,NA
12130,"extra_heavy",2000,0.980907102232606,0.466833164219781,0.385754798294054,0.982128964574239,0.462164802418069,0.386931249401782,NA,NA
12131,"extra_heavy",2000,1.00683239117681,0.189904371888588,0.307446762060549,1.0057253780533,0.192202876819558,0.305646242841129,NA,NA
12132,"extra_heavy",2000,0.85617402507198,1.03743429131741,0.379381650069766,0.862027638534742,1.11998594990329,0.366101337733931,NA,NA
12133,"extra_heavy",2000,0.974402482817364,0.715871960441504,0.281869312489295,0.974238685765709,0.771312417290989,0.276626767888673,NA,NA
12134,"extra_heavy",2000,1.0915016146513,0.521372971166775,0.208628246604354,1.09301873057814,0.511749289299341,0.212997967650766,NA,NA
12135,"extra_heavy",2000,0.903595088388528,1.03417150841986,0.331684938902623,0.90220030514978,1.07324822299106,0.329726775411643,NA,NA
12136,"extra_heavy",2000,1.02898291107506,0.465346730032436,0.268077058157672,1.02973171399877,0.470768512900485,0.266346700196856,NA,NA
12137,"extra_heavy",2000,0.929610560340507,0.691886692481146,0.310437966403062,0.930115245209613,0.683748980364697,0.316621039031131,NA,NA
12138,"extra_heavy",2000,1.12887740243469,0.797309398033946,0.173780776830516,1.13265393404814,0.834798940902602,0.174633712455892,NA,NA
12139,"extra_heavy",2000,0.970105623483284,1.01526500097956,0.250024750920417,0.969541378600324,1.02880512909212,0.24789241151445,NA,NA
12140,"extra_heavy",2000,1.03908587881588,0.426148796012716,0.243815579927438,1.03864756202823,0.426765557467795,0.245259438079304,NA,NA
12141,"extra_heavy",2000,1.01599502836285,0.536443158625168,0.222268370825064,1.01659368953835,0.537410777245749,0.222663044830084,NA,NA
12142,"extra_heavy",2000,1.050255963004,0.827872043178786,0.173300369122768,1.05635577518938,0.840065922964434,0.170995219608766,NA,NA
12143,"extra_heavy",2000,0.945655247715064,0.983189367320352,0.361869080444164,0.949103107979344,0.999079418381845,0.359931951847989,NA,NA
