"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr","time_aq","conv_msg_aq","time_tr"
12323,"extra_heavy",500,0.816,0.927482672040256,0.643156301841995,0.195175642314138,0.975068540248669,0.269048813914412,0.110603811023814,0.124713168232356,0.138883919964067,0.195040768104894,0.823188605324713,1.70103612751516,0.292975933690535,0.17505326088243,0.808548306485448,0.147484195496447,2.61799999999857,NA,0.0720000000001164
12324,"extra_heavy",500,0.806,1.10719929020591,0.442516704718593,0.145003441208011,1.18200667300705,0.213407011507896,0.179543133392428,0.119968226469364,0.271515307869308,0.161587405927423,1.15931143187506,0.601146795408221,0.231615762964994,0.164932381099759,0.939629139369646,0.133688115767532,4.07599999999729,NA,0.0720000000001164
12325,"extra_heavy",500,0.83,0.987263297231105,0.421676466789247,0.399346110511682,0.993329340668185,0.5004459380563,0.487053323221527,0.173333536564123,0.607929695436448,0.139036077027327,1.02355160838539,0.492766915749315,0.511920942932362,0.189007544759374,0.906059572887585,0.137258601938125,5.04399999999805,NA,0.0730000000003201
12326,"extra_heavy",500,0.808,1.05685119557014,0.497842023201014,0.075379801909503,1.08247243123502,0.25871515856307,0.17405061180136,0.141430857453719,0.211542357521195,0.140529185597784,1.08509687816947,0.745273383954254,0.213659789350733,0.170224253771126,0.826438819265414,0.130595389686955,3.71600000000035,NA,0.0720000000001164
12327,"extra_heavy",500,0.856,1.05208182309294,0.506811042407092,0.134246028528074,1.1952604028785,0.0236660799721266,0.105291552380404,0.111648776977587,0.0279590611913323,0.25176312610491,1.08292668616437,0.795061636968008,0.244828436339101,0.194697916459172,0.908199629401439,0.14325216824716,1.48600000000079,NA,0.0750000000007276
12328,"extra_heavy",500,0.78,1.11080080950462,0.350394623317367,0.184894676412389,1.07978976392203,0.850367738080688,0.153495012928278,0.13304068340459,0.606069457304703,0.174048641452065,1.03258184910906,1.33495227476002,0.223547183249501,0.160869152793171,0.956544175924468,0.153057864867389,4.09600000000137,NA,0.069999999999709
12329,"extra_heavy",500,0.808,0.927352490067297,0.540958111580504,0.315819945327721,1.01870040838295,0.106206238136894,0.292122400173942,0.10815493530902,0.0831782816975292,0.193528579981322,0.924076267188079,0.877566771888065,0.432458920695846,0.152344361449838,0.694843331973183,0.133919450589178,2.0099999999984,NA,0.0730000000003201
12330,"extra_heavy",500,0.836,0.991208607448527,0.555886997108621,0.182119294901386,1.06619652130807,0.179542530082873,0.0288742250071053,0.11909404156881,0.105978303631623,0.193300508261847,0.924401259594686,2.12591977867246,0.222169726204735,0.188219354099322,1.27398852258198,0.134978717491086,2.40999999999985,NA,0.0740000000005239
12331,"extra_heavy",500,0.784,0.973472430852026,0.461839828606558,0.455692238330666,0.913458080178319,0.621057114940454,0.392635197941893,0.124301205764565,0.273864357342769,0.144428450631679,0.824922120053403,1.77837039768998,0.491425186308652,0.154127421470846,0.794836386686782,0.133702326790403,4.47300000000178,NA,0.069999999999709
12332,"extra_heavy",500,0.808,1.02778814574949,0.418635445524508,0.336325579166953,1.0496117073934,0.15969719227972,0.302628061075515,0.109742184484159,0.116926570900965,0.170461536114708,0.975077630560536,0.975160547575753,0.426914455956111,0.152431280403828,0.755686200218771,0.130592440452981,2.43100000000049,NA,0.0720000000001164
