"sim","censoring","n","subdivisions","perc_censored","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","time_extrap","time_extrap_no"
"11433-1","heavy",100,100,0.62,0.908187741088163,0.287823838590573,0.31051010404261,0.256831437570469,0.295236033080071,0.289653583843058,1.084,NA
"11433-2","heavy",100,100,0.51,1.01481297390501,0.127994535778806,0.450022796025692,0.250053292344389,0.265395673758108,0.342213593776494,1.03,NA
"11433-3","heavy",100,100,0.47,0.964243429335048,0.458523524314171,0.227435049833484,0.251289964655595,0.541599123004752,0.330432154565269,1.215,NA
"11433-4","heavy",100,100,0.48,0.787392301967765,0.921096278968549,0.604341267044462,0.227861556115465,0.592059729845176,0.307749667778912,1.315,NA
"11433-5","heavy",100,100,0.48,0.856764184835059,0.841357804885097,0.146569711379485,0.212850220564304,0.481349083660216,0.288289862874528,1.28,NA
"11433-6","heavy",100,100,0.54,1.25378901052649,0.716915748376143,0.00495365753319446,0.26600201827305,0.450194927960855,0.297231848827787,1.099,NA
"11433-7","heavy",100,100,0.5,0.809211577765055,0.366712176524572,0.552063680638772,0.21610449309173,0.277667396806254,0.316971985456261,1.308,NA
"11433-8","heavy",100,100,0.48,1.17602589188221,0.463746783881431,0.0138649711605184,0.25441553534959,0.462628359575922,0.326042544287172,0.965999999999999,NA
"11433-9","heavy",100,100,0.45,0.789927967769891,0.826834408885859,0.396989867462788,0.210559057967768,0.285609147421327,0.294968355721801,1.091,NA
"11433-10","heavy",100,100,0.41,1.22645028646782,-0.640819206197963,0.457831192878829,0.191068089980571,0.626815496624985,0.286319832635463,1.073,NA
"11433-11","heavy",100,100,0.43,1.06309439752129,0.12170839893199,0.416506980337589,0.251426516854419,0.437630859221462,0.339248281516602,1.233,NA
"11433-12","heavy",100,100,0.47,1.13141177074464,0.292032145013092,0.34951072605952,0.211522279400844,0.31197252182536,0.281959533223737,1.355,NA
"11433-13","heavy",100,100,0.59,1.25759231389121,0.455287676421606,0.0694945969421854,0.209563761633489,0.31819370271029,0.267153738826501,1.443,NA
"11433-14","heavy",100,100,0.54,0.802760260112795,0.614821544873887,0.495906901591815,0.276695534821008,0.426178072525827,0.308928176491762,1.088,NA
"11433-15","heavy",100,100,0.4,1.01978772942014,0.224856463700146,0.284851997420568,0.268607897800987,0.274932633202419,0.315667579061381,1.177,NA
"11433-16","heavy",100,100,0.47,1.04243119123531,0.167081529698207,0.0887497703006657,0.248746246143892,0.575278909795587,0.383526830772058,1.18,NA
"11433-17","heavy",100,100,0.49,1.06304709102997,0.440858482151855,0.369895735781362,0.292648289418044,0.541606924333742,0.352014899857038,1.285,NA
"11433-18","heavy",100,100,0.41,1.07984647067182,0.184092851833043,0.516736485724143,0.225003709067693,0.568739541967002,0.31431556741619,1.146,NA
"11433-19","heavy",100,100,0.49,1.25355032155588,0.902841913517818,-0.148775031187286,0.254683962493409,0.494245938677463,0.312541537691536,1.195,NA
"11433-20","heavy",100,100,0.48,0.896984334073949,0.275341470231122,0.57085589791634,0.259385618376038,0.610370464034689,0.332117341555796,1.206,NA
"11433-21","heavy",100,100,0.53,0.796000513996642,0.527261544223521,0.441175692466228,0.234145681788203,0.335377726179308,0.286712317282197,1.442,NA
"11433-22","heavy",100,100,0.56,0.935176924491306,0.503704089188099,0.535588764787688,0.24268750211272,0.488586813402632,0.308452282152667,1.361,NA
"11433-23","heavy",100,100,0.43,1.18761952087267,0.343705289287347,-0.0565148847272036,0.229056933454705,0.821262801984938,0.357681648601444,1.316,NA
"11433-24","heavy",100,100,0.49,0.827661874345586,0.903654538081286,0.183387518640971,0.246543645521899,0.557529770078764,0.284021852104813,1.317,NA
"11433-25","heavy",100,100,0.56,1.09132628817011,0.620076653478878,0.216302114305004,0.276476985242538,0.598165000374452,0.348389222106852,1.394,NA
"11433-26","heavy",100,100,0.53,1.11448444451418,0.273167332596723,0.247936743796201,0.230038423084158,0.386039248552713,0.270227080677728,1.35,NA
"11433-27","heavy",100,100,0.47,0.942426933429796,0.617820524370937,0.202110284116611,0.199555361621649,0.369208015669909,0.286562286062986,1.402,NA
"11433-28","heavy",100,100,0.55,0.72160549228378,0.630496118024412,0.831859431855962,0.248704142114072,0.376589747908783,0.292719195318112,1.143,NA
"11433-29","heavy",100,100,0.44,1.04746344621094,0.4293408794811,0.194426697870078,0.233298633710565,0.415278077264487,0.263600431957963,1.226,NA
"11433-30","heavy",100,100,0.44,1.20798329282628,0.121212831845363,0.535593562613883,0.256570271550175,0.486363206100082,0.285863961722892,1.219,NA
"11433-31","heavy",100,100,0.48,1.16860946803183,0.340364693021807,0.1119029744291,0.2523575834391,0.329535685589031,0.338915923346091,1.241,NA
"11433-32","heavy",100,100,0.46,1.00469894889958,0.650195589491433,0.487933651898432,0.248427233794724,0.556683512066506,0.325119481082815,1.086,NA
"11433-33","heavy",100,100,0.48,1.0710341564773,-0.23193542254132,0.406885136574541,0.263872572960984,0.427720296741908,0.303901804412204,1.028,NA
"11433-34","heavy",100,100,0.39,0.791145174432262,0.164671061802872,0.665467264084476,0.223445624500887,0.649675342085055,0.31411880105895,0.993000000000002,NA
"11433-35","heavy",100,100,0.55,0.916309484708056,0.523153499341237,0.00538157193811937,0.194405559323704,0.322791074730325,0.392337923395898,1.244,NA
"11433-36","heavy",100,100,0.45,1.1262178718146,0.558431741932482,0.285955113890704,0.21746424756387,0.332667883993783,0.287556164773611,1.319,NA
"11433-37","heavy",100,100,0.43,0.838577982041613,1.40368335571349,0.423220769758531,0.217473750962272,0.545777076841587,0.293017813966477,1.029,NA
"11433-38","heavy",100,100,0.51,0.777724332503044,1.11617676611511,0.319314754459893,0.194445615231995,0.560905467946491,0.265978128136633,1.46,NA
"11433-39","heavy",100,100,0.54,0.926863464231427,0.787787258115089,0.519310856489962,0.227517988494795,0.672819547419957,0.311267103544912,1.285,NA
"11433-40","heavy",100,100,0.48,0.974432018606337,0.672227414516524,0.151670161546108,0.195249020499187,0.339794434965042,0.299180887076864,1.213,NA
"11433-41","heavy",100,100,0.49,1.26056119713925,-0.111945537576505,0.31772755216328,0.264459922582493,0.558892035396795,0.322234178077818,1.318,NA
"11433-42","heavy",100,100,0.55,0.839620205255686,0.940362414162831,0.263446675462017,0.279868687512568,0.492640782565965,0.340188529881132,1.136,NA
"11433-43","heavy",100,100,0.53,1.09711805108538,0.456265927374633,-0.127447329480516,0.214552281034547,0.30544115299302,0.327794663145382,1.231,NA
"11433-44","heavy",100,100,0.59,0.726914369545941,0.62550236450494,0.0673844534762979,0.250663897785259,0.340532747357511,0.306344678396701,1.091,NA
"11433-45","heavy",100,100,0.56,0.879433709512945,0.574347897333691,0.254017453696007,0.25694914297945,0.271029450893684,0.302182307437428,1.079,NA
"11433-46","heavy",100,100,0.45,1.1413768410633,0.064424570566734,0.436560691662588,0.271944464631373,0.48153253854705,0.327695133754407,1.31700000000001,NA
