"sim","censoring","n","interpolate","extrapolate","alpha_tr","beta_tr","gamma_tr"
"114-1","Heavy",100,"carry-forward","drop-off",1.45903857316156,0.35941298176272,-0.131343685298584
"114-2","Heavy",100,"carry-forward","drop-off",0.861149937606912,1.94238885972582,0.274425280142908
"114-3","Heavy",100,"carry-forward","drop-off",1.27610406986399,-1.25883851687441,0.151663043316157
"114-4","Heavy",100,"carry-forward","drop-off",1.11397610644596,1.62617316216458,0.165682992233621
"114-5","Heavy",100,"carry-forward","drop-off",1.14308846872283,1.90188616274856,0.093186156681264
"114-6","Heavy",100,"carry-forward","drop-off",0.762125507290204,3.9848157804118,0.412570522193504
"114-7","Heavy",100,"carry-forward","drop-off",0.879433791457937,1.73221880503252,0.202309319511583
"114-8","Heavy",100,"carry-forward","drop-off",0.690887653630011,5.96387073368429,0.312852328690515
"114-9","Heavy",100,"carry-forward","drop-off",0.972270563433375,1.41012781103549,0.366683727153934
"114-10","Heavy",100,"carry-forward","drop-off",0.75781520629678,1.79021307685099,0.632748592990692
"114-11","Heavy",100,"carry-forward","drop-off",1.14361715316607,-0.513903027885783,0.469483131040283
"114-12","Heavy",100,"carry-forward","drop-off",1.30482776496421,0.480657771333773,-0.0161531372166901
"114-13","Heavy",100,"carry-forward","drop-off",0.93217823353064,1.91997273819643,0.596028520788497
"114-14","Heavy",100,"carry-forward","drop-off",0.267780259323441,8.16111042362475,0.020935816019333
"114-15","Heavy",100,"carry-forward","drop-off",0.777630512395552,0.400634951632237,0.813104686643702
"114-16","Heavy",100,"carry-forward","drop-off",1.39819221602908,-1.26426948508048,0.175540903703153
"114-17","Heavy",100,"carry-forward","drop-off",0.922844379795,3.58917008372506,0.266196317407005
"114-18","Heavy",100,"carry-forward","drop-off",1.30299010407943,-2.3849571069836,0.236222929618712
"114-19","Heavy",100,"carry-forward","drop-off",0.841474748433168,0.749455311004627,0.586604929545175
"114-20","Heavy",100,"carry-forward","drop-off",0.397405103519045,5.18905628892267,0.425242925370835
"114-21","Heavy",100,"carry-forward","drop-off",1.16721755718475,-1.74624248708784,0.529286397420829
"114-22","Heavy",100,"carry-forward","drop-off",0.809358740276386,4.80691382367784,0.166505570863702
"114-23","Heavy",100,"carry-forward","drop-off",1.13641042123918,0.0152578906036301,0.528124915696328
"114-24","Heavy",100,"carry-forward","drop-off",0.924009533854577,3.05751208664226,0.278149913039616
"114-25","Heavy",100,"carry-forward","drop-off",1.40715620338287,-2.30282023548815,0.253837993566983
"114-26","Heavy",100,"carry-forward","drop-off",1.23390648202412,-1.61154140457834,0.298761241075508
"114-27","Heavy",100,"carry-forward","drop-off",1.10048243549542,1.78300178074727,0.00135690333214276
"114-28","Heavy",100,"carry-forward","drop-off",0.9429338502842,2.82617731896368,0.0779891810818104
"114-29","Heavy",100,"carry-forward","drop-off",0.875334514796291,4.05390420722037,0.284102128901032
"114-30","Heavy",100,"carry-forward","drop-off",1.65300752165085,-1.41101064183925,0.00477365237937514
"114-31","Heavy",100,"carry-forward","drop-off",1.12591578705516,0.851423609712888,0.208812595139244
"114-32","Heavy",100,"carry-forward","drop-off",1.52994517459138,-1.8080622878009,0.0392490623351312
"114-33","Heavy",100,"carry-forward","drop-off",1.29692948905914,-1.14921566069321,-0.0190961302090775
"114-34","Heavy",100,"carry-forward","drop-off",0.78866793258078,5.85945124615958,0.254615872377874
"114-35","Heavy",100,"carry-forward","drop-off",1.05937663786795,0.0768976554843487,0.670157125881522
"114-36","Heavy",100,"carry-forward","drop-off",0.798602331030551,3.6499587961138,0.120089201668967
"114-37","Heavy",100,"carry-forward","drop-off",1.35101802064588,2.21111344572282,-0.306808875022111
"114-38","Heavy",100,"carry-forward","drop-off",1.15840524448855,-0.160553184625541,0.19459940538553
"114-39","Heavy",100,"carry-forward","drop-off",0.442604300327826,5.17886090051345,0.398933387670949
"114-40","Heavy",100,"carry-forward","drop-off",0.863341977363661,0.7512337209519,0.373142609883021
"114-41","Heavy",100,"carry-forward","drop-off",0.869082666244313,-0.122213664619086,0.554726323387995
"114-42","Heavy",100,"carry-forward","drop-off",0.846412571825939,4.93000795021924,-0.121312088536679
"114-43","Heavy",100,"carry-forward","drop-off",1.03832533108404,2.29287230187892,0.192932042490759
