"sim","censoring","n","interpolate","extrapolate","alpha_tr","beta_tr","gamma_tr"
"114-44","Heavy",100,"carry-forward","drop-off",1.05998808425598,0.650044219961651,0.279654161021333
"114-45","Heavy",100,"carry-forward","drop-off",0.844666813880072,1.22598280106749,0.753054145304305
"114-46","Heavy",100,"carry-forward","drop-off",1.47871200481788,-2.66608647188526,0.0394040735822187
"114-47","Heavy",100,"carry-forward","drop-off",1.21628715392707,-0.793448451229538,0.348683540883836
"114-48","Heavy",100,"carry-forward","drop-off",0.874732326962975,1.91486639119875,0.138340473229776
"114-49","Heavy",100,"carry-forward","drop-off",0.751932856758017,4.62377436098344,0.359117831242368
"114-50","Heavy",100,"carry-forward","drop-off",1.08784294262492,1.12604601281609,0.415278492846404
"114-51","Heavy",100,"carry-forward","drop-off",0.724233672980308,3.15906771341212,0.273588102105211
"114-52","Heavy",100,"carry-forward","drop-off",0.886839925541944,4.86801499218959,0.15238235567733
"114-53","Heavy",100,"carry-forward","drop-off",1.04800555785418,2.85364015956429,0.238493680510216
"114-54","Heavy",100,"carry-forward","drop-off",0.760453580583432,3.16126588870487,0.323004188014033
"114-55","Heavy",100,"carry-forward","drop-off",1.0546292980799,1.10376586372548,0.338685379484424
"114-56","Heavy",100,"carry-forward","drop-off",1.26291829917828,-1.42705751986613,0.332537190284701
"114-57","Heavy",100,"carry-forward","drop-off",0.604480842353853,5.28140718112353,0.274441117358412
"114-58","Heavy",100,"carry-forward","drop-off",1.07979176410124,-0.251526289615193,0.214572645681073
"114-59","Heavy",100,"carry-forward","drop-off",1.33459010525812,-1.84578396750871,0.149676318668523
"114-60","Heavy",100,"carry-forward","drop-off",0.837797916682382,3.3109518739482,0.198879822871029
"114-61","Heavy",100,"carry-forward","drop-off",0.761366396243028,6.04825163628818,0.124026417662677
"114-62","Heavy",100,"carry-forward","drop-off",0.64734040368482,2.75035092014989,0.516415086583739
"114-63","Heavy",100,"carry-forward","drop-off",0.910899219819904,1.91545573467722,0.543317567232204
"114-64","Heavy",100,"carry-forward","drop-off",0.935666979706161,2.63590625632551,0.204335492996679
"114-65","Heavy",100,"carry-forward","drop-off",0.683895059850388,4.56468881295791,0.169603492967245
"114-66","Heavy",100,"carry-forward","drop-off",1.12574790694197,0.959793027496687,0.307658633814275
"114-67","Heavy",100,"carry-forward","drop-off",1.05410439435968,-0.136147128747188,0.501037740390366
"114-68","Heavy",100,"carry-forward","drop-off",0.536540840024995,6.1051407720384,0.422609320246911
"114-69","Heavy",100,"carry-forward","drop-off",0.935472353730323,1.47120425376076,0.376505426861441
"114-70","Heavy",100,"carry-forward","drop-off",0.872271495988332,1.30885960972382,0.326192558925125
"114-71","Heavy",100,"carry-forward","drop-off",0.795698978669475,5.38736972255724,0.150133039106206
"114-72","Heavy",100,"carry-forward","drop-off",1.21088636072011,-1.63843743020301,0.14391694958273
"114-73","Heavy",100,"carry-forward","drop-off",0.623356387215141,3.55371977923827,0.289618643708386
"114-74","Heavy",100,"carry-forward","drop-off",1.17189422562235,-0.899608409313646,0.407372410066552
"114-75","Heavy",100,"carry-forward","drop-off",1.08247787834766,2.19698780680486,0.0923007033845742
"114-76","Heavy",100,"carry-forward","drop-off",1.41066036899875,-3.45635905590688,0.314283345246607
"114-77","Heavy",100,"carry-forward","drop-off",0.272951251743663,5.34178692864218,0.647866484715986
"114-78","Heavy",100,"carry-forward","drop-off",1.130960336126,-0.244285478742307,0.306612966898244
"114-79","Heavy",100,"carry-forward","drop-off",0.739401995449703,2.46056180965209,0.500313185194175
"114-80","Heavy",100,"carry-forward","drop-off",0.695256339981643,6.20571813858656,0.367386188594073
"114-81","Heavy",100,"carry-forward","drop-off",1.26648969383135,-2.62289855260333,0.214753317502232
"114-82","Heavy",100,"carry-forward","drop-off",1.25474775184272,1.73267404302771,-0.0193644054953413
"114-83","Heavy",100,"carry-forward","drop-off",1.10484630529528,3.06447170624642,0.093011717944526
"114-84","Heavy",100,"carry-forward","drop-off",0.96135473293532,1.64770746381997,0.318614383134032
"114-85","Heavy",100,"carry-forward","drop-off",1.20522314846953,-0.555054744354433,0.143644476472125
"114-86","Heavy",100,"carry-forward","drop-off",1.57327629178023,-1.55246428415359,0.00851637889648559
"114-87","Heavy",100,"carry-forward","drop-off",1.52975229749168,-0.871016437043028,-0.322406777068958
"114-88","Heavy",100,"carry-forward","drop-off",1.05857499994817,-0.490768665845089,0.44084827063696
"114-89","Heavy",100,"carry-forward","drop-off",0.403319686861943,4.70348033858986,0.59590473352848
"114-90","Heavy",100,"carry-forward","drop-off",1.16123357659897,0.217733181988958,0.120760042270523
"114-91","Heavy",100,"carry-forward","drop-off",0.810137662207154,1.5710706155288,0.340893388604012
"114-92","Heavy",100,"carry-forward","drop-off",1.63181534012718,-2.40925268328176,0.178508761491279
"114-93","Heavy",100,"carry-forward","drop-off",0.513558288092313,6.4395845017414,0.792029652037962
"114-94","Heavy",100,"carry-forward","drop-off",1.192490555612,-0.823741327103842,0.401692381495651
"114-95","Heavy",100,"carry-forward","drop-off",0.731168946987248,5.09938348822892,0.267364838615652
"114-96","Heavy",100,"carry-forward","drop-off",0.908801496072734,6.38458839172746,-0.11359141699076
"114-97","Heavy",100,"carry-forward","drop-off",1.2284868603691,0.0682545607371811,0.21687039098076
"114-98","Heavy",100,"carry-forward","drop-off",1.04451841485968,-1.02485502332417,0.363288341437791
"114-99","Heavy",100,"carry-forward","drop-off",0.848632128162143,2.69660903898104,0.462234059689812
"114-100","Heavy",100,"carry-forward","drop-off",1.20485049111193,-0.520691975191553,0.214026071717043
"114-101","Heavy",100,"carry-forward","drop-off",0.701710902179252,3.18997144884283,0.424639997081867
"114-102","Heavy",100,"carry-forward","drop-off",1.00135033668607,1.21019344598588,0.513463237397806
"114-103","Heavy",100,"carry-forward","drop-off",0.583174591467629,5.64138577259436,0.18967043372794
"114-104","Heavy",100,"carry-forward","drop-off",1.27206883012154,-0.242786196213646,0.177056930748269
"114-105","Heavy",100,"carry-forward","drop-off",0.689775249449903,5.81972318863429,0.133421126477212
"114-106","Heavy",100,"carry-forward","drop-off",1.17158261528367,1.37537367512326,-0.072746276763599
"114-107","Heavy",100,"carry-forward","drop-off",1.04666788247198,0.634166682169629,-0.0235946504733665
"114-108","Heavy",100,"carry-forward","drop-off",0.609253481262085,3.43539066086841,0.146399538854961
"114-109","Heavy",100,"carry-forward","drop-off",1.08615278445562,1.49223989763043,-0.0110130405012034
"114-110","Heavy",100,"carry-forward","drop-off",0.934583715727625,2.26756991569574,0.0866839254904086
"114-111","Heavy",100,"carry-forward","drop-off",1.02296941500218,3.10053391801848,0.109095831365019
"114-112","Heavy",100,"carry-forward","drop-off",0.996503860581148,1.77300955717613,0.283193718089896
"114-113","Heavy",100,"carry-forward","drop-off",1.25058509551883,0.820785815443761,-0.201325464859543
"114-114","Heavy",100,"carry-forward","drop-off",1.32090925849514,-0.545217203921155,0.132407793285012
"114-115","Heavy",100,"carry-forward","drop-off",1.11993536488237,2.15174331164984,0.201381029870125
"114-116","Heavy",100,"carry-forward","drop-off",1.30161696677419,0.219517120616133,-0.110880220853155
"114-117","Heavy",100,"carry-forward","drop-off",1.35229891866442,0.0136450307075106,0.294168536430224
"114-118","Heavy",100,"carry-forward","drop-off",0.936751446980299,2.69477977126873,0.160162692649227
"114-119","Heavy",100,"carry-forward","drop-off",1.13946859133974,1.08784750223783,0.209684523229044
"114-120","Heavy",100,"carry-forward","drop-off",0.914695667828855,3.22230884405126,0.00607554024094063
"114-121","Heavy",100,"carry-forward","drop-off",0.810335295597437,3.9269908468654,0.252347818556471
"114-122","Heavy",100,"carry-forward","drop-off",0.472286355968522,5.98439808079428,0.202535694568226
"114-123","Heavy",100,"carry-forward","drop-off",0.587286583980075,3.03647024018921,0.416233058104107
"114-124","Heavy",100,"carry-forward","drop-off",0.940267389201987,0.327408899509743,0.261916893274703
"114-125","Heavy",100,"carry-forward","drop-off",0.975397133946582,3.49517662343087,-0.0624090247540708
"114-126","Heavy",100,"carry-forward","drop-off",1.22251035304861,1.61336063663875,-0.00306340262357983
"114-127","Heavy",100,"carry-forward","drop-off",1.14724700052947,1.7710127527902,0.134289579631464
"114-128","Heavy",100,"carry-forward","drop-off",1.10116087159741,0.956928517841545,0.255505621688363
"114-129","Heavy",100,"carry-forward","drop-off",1.4607195325665,-3.14374173982807,0.31382997936994
"114-130","Heavy",100,"carry-forward","drop-off",0.971919003450803,1.53243229647951,0.250455428312152
"114-131","Heavy",100,"carry-forward","drop-off",1.01520422007871,0.170647460847675,0.472593125528891
"114-132","Heavy",100,"carry-forward","drop-off",1.22150346022364,-0.872514002729827,0.356428234671344
"114-133","Heavy",100,"carry-forward","drop-off",-0.056664952882991,12.4867935463268,0.348615091370877
"114-134","Heavy",100,"carry-forward","drop-off",0.899092315408131,5.2541436890408,0.104258398187348
"114-135","Heavy",100,"carry-forward","drop-off",1.42534779072309,-2.93371496253595,0.357771367417495
"114-136","Heavy",100,"carry-forward","drop-off",1.43482958275118,-2.16858846235306,0.0995193484981508
"114-137","Heavy",100,"carry-forward","drop-off",1.11357306845522,0.892234304663405,0.220720857433273
"114-138","Heavy",100,"carry-forward","drop-off",1.11687963573105,3.05024437956977,-0.0406555563251691
"114-139","Heavy",100,"carry-forward","drop-off",1.28950355247096,0.400613567217109,-0.0979642305501722
"114-140","Heavy",100,"carry-forward","drop-off",1.15102095069396,0.530217204915481,0.24564977119931
"114-141","Heavy",100,"carry-forward","drop-off",1.08522526002427,1.99207271775932,0.296049260115863
"114-142","Heavy",100,"carry-forward","drop-off",1.10089982157233,1.124670411995,0.519428691427238
"114-143","Heavy",100,"carry-forward","drop-off",1.0867591776433,-0.113553465192871,0.435121656381197
"114-144","Heavy",100,"carry-forward","drop-off",1.03514471326629,3.40080493839409,0.163897113904425
"114-145","Heavy",100,"carry-forward","drop-off",0.658573210347803,3.36276948268135,0.169749853933699
"114-146","Heavy",100,"carry-forward","drop-off",0.761722063430979,-0.735563093698395,0.694226347364078
"114-147","Heavy",100,"carry-forward","drop-off",1.00582379910276,0.997322688245476,0.355987710537891
"114-148","Heavy",100,"carry-forward","drop-off",0.729849938770845,2.64236780668525,0.362508302277867
"114-149","Heavy",100,"carry-forward","drop-off",1.0395352140268,-0.637594438663396,0.378934020046761
"114-150","Heavy",100,"carry-forward","drop-off",1.03655134179873,1.39356977080308,0.246992473564262
"114-151","Heavy",100,"carry-forward","drop-off",0.805918954516508,4.69140218678708,-0.0713534629985906
"114-152","Heavy",100,"carry-forward","drop-off",1.37692726952972,1.05207351600423,-0.00473754073759774
"114-153","Heavy",100,"carry-forward","drop-off",0.796535673296557,5.5562489576232,0.0159360428490104
"114-154","Heavy",100,"carry-forward","drop-off",0.451119534395097,5.96446433380636,0.718090214729426
"114-155","Heavy",100,"carry-forward","drop-off",1.1631002006266,1.52158592593648,0.130756108120702
"114-156","Heavy",100,"carry-forward","drop-off",1.20706903664155,0.503799604965211,0.107388780542588
"114-157","Heavy",100,"carry-forward","drop-off",0.63413444981612,3.68882469417927,0.32751467441665
"114-158","Heavy",100,"carry-forward","drop-off",1.12958477986823,2.31191181084765,-0.283058548241253
"114-159","Heavy",100,"carry-forward","drop-off",0.961055814320352,0.981459560754495,0.332461644922899
"114-160","Heavy",100,"carry-forward","drop-off",1.11125768595596,1.47452546360238,0.123499126575509
"114-161","Heavy",100,"carry-forward","drop-off",1.11731564208744,-0.917187032096601,0.417714152314633
"114-162","Heavy",100,"carry-forward","drop-off",0.697394623057019,3.75186685668972,-0.00649667831593917
"114-163","Heavy",100,"carry-forward","drop-off",0.502064508415099,5.27475564022336,0.346563876558633
"114-164","Heavy",100,"carry-forward","drop-off",1.30877692486246,0.281428365140039,-0.0157658517698294
"114-165","Heavy",100,"carry-forward","drop-off",1.18801147236603,-1.38070307508059,0.370432145377675
"114-166","Heavy",100,"carry-forward","drop-off",0.356957555434419,8.6911320597332,0.117818843900141
"114-167","Heavy",100,"carry-forward","drop-off",0.907895842019991,1.5130484228622,0.469871800359657
"114-168","Heavy",100,"carry-forward","drop-off",1.04907317116123,3.18648895013897,-0.164368659930557
"114-169","Heavy",100,"carry-forward","drop-off",0.754832671052001,1.51776145040506,0.452761268659609
"114-170","Heavy",100,"carry-forward","drop-off",0.866037829920991,0.696506368131953,0.706851754495973
"114-171","Heavy",100,"carry-forward","drop-off",0.997506082121512,3.86167277826581,0.0277679559459922
"114-172","Heavy",100,"carry-forward","drop-off",1.16229158049447,0.65683925149281,0.0224921173519399
"114-173","Heavy",100,"carry-forward","drop-off",1.18199499961381,0.169371519792833,0.0883211502864581
"114-174","Heavy",100,"carry-forward","drop-off",1.5808319191136,-1.79418690560972,-0.00387149731731803
"114-175","Heavy",100,"carry-forward","drop-off",1.34160099309941,-5.50798124737859,0.342667812268844
"114-176","Heavy",100,"carry-forward","drop-off",0.976751984757776,1.09801964919851,0.563949180365305
"114-177","Heavy",100,"carry-forward","drop-off",0.704694804034708,3.96699694908547,0.333643446379859
"114-178","Heavy",100,"carry-forward","drop-off",0.617156289692129,3.83320747668092,0.360296529914279
"114-179","Heavy",100,"carry-forward","drop-off",1.02225568740496,2.59600397198243,0.284160124330925
"114-180","Heavy",100,"carry-forward","drop-off",1.00188141897846,2.31847073847669,0.106323578137881
"114-181","Heavy",100,"carry-forward","drop-off",0.436898621762945,4.88710179090035,0.450461049706009
"114-182","Heavy",100,"carry-forward","drop-off",1.19059076768802,1.07200286004814,0.312833691977818
"114-183","Heavy",100,"carry-forward","drop-off",1.02190359031018,2.40940706764297,0.113445426889867
"114-184","Heavy",100,"carry-forward","drop-off",1.02057960561511,0.450249518752681,0.474915694383705
"114-185","Heavy",100,"carry-forward","drop-off",1.07950117262839,1.37391093734875,0.369360111260409
"114-186","Heavy",100,"carry-forward","drop-off",0.851908891319378,3.93118743265978,0.225400961556315
"114-187","Heavy",100,"carry-forward","drop-off",0.913585383757596,0.116697804663461,0.45417777015643
"114-188","Heavy",100,"carry-forward","drop-off",0.870266205634593,2.33282348589057,0.164272103107569
"114-189","Heavy",100,"carry-forward","drop-off",1.76729921013114,-6.1138516520409,-0.0016215128001523
"114-190","Heavy",100,"carry-forward","drop-off",1.13326507351421,-0.243296334732534,0.40806199972674
"114-191","Heavy",100,"carry-forward","drop-off",0.689539290888179,5.7267272917129,0.224269300989848
"114-192","Heavy",100,"carry-forward","drop-off",1.57470771812229,-4.45567714146995,0.0651021883391726
"114-193","Heavy",100,"carry-forward","drop-off",1.13370944787971,0.618185221690906,0.237605412596756
"114-194","Heavy",100,"carry-forward","drop-off",1.07636700149901,0.454800547543908,0.175744020943036
"114-195","Heavy",100,"carry-forward","drop-off",1.01953639490196,5.06144345946684,-0.0122556267387931
"114-196","Heavy",100,"carry-forward","drop-off",0.975636327616349,4.52993065441457,-0.114679308876416
"114-197","Heavy",100,"carry-forward","drop-off",0.98127393121473,0.292565155470748,0.399445504282365
"114-198","Heavy",100,"carry-forward","drop-off",1.39535891163831,-0.20537138390309,-0.0439430995640845
"114-199","Heavy",100,"carry-forward","drop-off",0.94930948189517,0.098320439667324,0.373222607084277
"114-200","Heavy",100,"carry-forward","drop-off",1.22092117447338,-0.336434843101836,0.081268632102579
"115-1","Heavy",100,"carry-forward","drop-off",1.45549469459155,-0.849687347087309,0.21220160546857
"115-2","Heavy",100,"carry-forward","drop-off",1.0348774712996,1.28584304630335,0.198511179131465
"115-3","Heavy",100,"carry-forward","drop-off",0.576581895671581,3.52562502777154,0.0612422497013336
"115-4","Heavy",100,"carry-forward","drop-off",1.06876349402209,1.68808438647733,0.0620669857802201
"115-5","Heavy",100,"carry-forward","drop-off",1.39108836944454,-1.12958165504518,0.0143805220200264
"115-6","Heavy",100,"carry-forward","drop-off",0.838751874657524,1.14075672605114,0.391789042773245
"115-7","Heavy",100,"carry-forward","drop-off",0.619765449682711,3.29923623239773,0.475251852821009
"115-8","Heavy",100,"carry-forward","drop-off",0.487230281012468,4.78572215520877,0.491780211793229
"115-9","Heavy",100,"carry-forward","drop-off",0.791406255915069,2.22020449285157,0.50092002930069
"115-10","Heavy",100,"carry-forward","drop-off",0.862733390115385,2.10662082098097,0.396783684232306
"115-11","Heavy",100,"carry-forward","drop-off",0.878169608354647,3.94063595856247,0.170741330035121
"115-12","Heavy",100,"carry-forward","drop-off",1.50845401491144,-0.251323899306052,-0.185187685516908
"115-13","Heavy",100,"carry-forward","drop-off",0.703555104308108,5.02144861861539,0.311608525334565
"115-14","Heavy",100,"carry-forward","drop-off",0.527252585872997,3.19617706749902,0.76204434953485
"115-15","Heavy",100,"carry-forward","drop-off",1.07486769090127,0.373473541422788,0.11407630306012
"115-16","Heavy",100,"carry-forward","drop-off",1.39754888057655,-3.48554462233195,0.458760625938445
"115-17","Heavy",100,"carry-forward","drop-off",0.734858252884544,2.94307656682684,0.354343964142088
"115-18","Heavy",100,"carry-forward","drop-off",1.22353739311935,-0.196800549150038,0.334006497339352
"115-19","Heavy",100,"carry-forward","drop-off",0.924682859051324,1.98646798107413,0.17143376335019
"115-20","Heavy",100,"carry-forward","drop-off",1.15951060515854,-0.575497904799097,0.289383498966687
"115-21","Heavy",100,"carry-forward","drop-off",0.874847061974696,3.43711643801592,0.256322101326036
"115-22","Heavy",100,"carry-forward","drop-off",0.925882329591505,2.03099978998579,0.34077413698857
"115-23","Heavy",100,"carry-forward","drop-off",0.834197979619949,0.817929076619554,0.708592322653047
"115-24","Heavy",100,"carry-forward","drop-off",1.24831535050023,-0.229026783035533,-0.0788014475167346
"115-25","Heavy",100,"carry-forward","drop-off",1.05095280981974,1.00807927832685,0.135695016291457
"115-26","Heavy",100,"carry-forward","drop-off",1.00923733535705,3.01155958196414,0.142757474110431
"115-27","Heavy",100,"carry-forward","drop-off",1.1226556859205,0.675726769167878,0.422135916261178
"115-28","Heavy",100,"carry-forward","drop-off",1.2947750209435,0.312290160603189,0.387557551756136
"115-29","Heavy",100,"carry-forward","drop-off",1.14303863159464,2.55636549471948,0.0648347393639333
"115-30","Heavy",100,"carry-forward","drop-off",1.07238059321777,1.94251695532576,-0.0439953870711185
"115-31","Heavy",100,"carry-forward","drop-off",1.41324011334453,0.882052193562619,-0.159672406245387
"115-32","Heavy",100,"carry-forward","drop-off",1.52201168817721,-1.82686565953789,0.132497919504021
"115-33","Heavy",100,"carry-forward","drop-off",1.24098104707946,-0.556875060354152,0.345999906861728
"115-34","Heavy",100,"carry-forward","drop-off",0.813410747510678,1.71473788666365,0.387510281656361
"115-35","Heavy",100,"carry-forward","drop-off",0.841564005668195,1.20862658507789,0.57715778207339
"115-36","Heavy",100,"carry-forward","drop-off",0.54835117086359,4.25291052642618,0.456287411624032
"115-37","Heavy",100,"carry-forward","drop-off",0.83365194559655,3.02545171773519,0.358684946880429
"115-38","Heavy",100,"carry-forward","drop-off",0.623621942593485,3.71344831011645,0.229079669749063
"115-39","Heavy",100,"carry-forward","drop-off",1.16188075598203,1.04152087244908,0.0641481642183253
"115-40","Heavy",100,"carry-forward","drop-off",0.529204295773466,3.87348795095295,0.207034868155859
"115-41","Heavy",100,"carry-forward","drop-off",1.11872959897339,2.23983605318814,-0.025294364286344
"115-42","Heavy",100,"carry-forward","drop-off",0.713759245845142,2.82819317335195,0.248783136918729
"115-43","Heavy",100,"carry-forward","drop-off",1.10640388836412,0.0937882279410961,0.265433304893311
"115-44","Heavy",100,"carry-forward","drop-off",1.29114902718272,-0.755749804946711,0.240297612451098
"115-45","Heavy",100,"carry-forward","drop-off",1.1119163514869,2.86765559056909,0.262903398554578
"115-46","Heavy",100,"carry-forward","drop-off",0.712099652688854,3.81355613616884,0.118634284983293
"115-47","Heavy",100,"carry-forward","drop-off",1.04436954252582,1.85655944925323,0.0173193592753277
"115-48","Heavy",100,"carry-forward","drop-off",1.49325579938459,-5.20709769950677,-0.0489664990820811
"115-49","Heavy",100,"carry-forward","drop-off",1.58277074868877,-2.92434913942567,0.14684829911445
"115-50","Heavy",100,"carry-forward","drop-off",1.14623814987558,0.942249279314825,0.160811047682463
"115-51","Heavy",100,"carry-forward","drop-off",0.367250032427042,4.03490883576316,0.357922322360313
"115-52","Heavy",100,"carry-forward","drop-off",0.403811018902336,5.69752150607916,0.399730987323053
"115-53","Heavy",100,"carry-forward","drop-off",1.06278089383046,-0.15702610938294,0.359651694823314
"115-54","Heavy",100,"carry-forward","drop-off",0.976527868049404,2.42319867457284,0.35949654713396
"115-55","Heavy",100,"carry-forward","drop-off",0.852312223463155,2.56614376350803,0.19443555107281
"115-56","Heavy",100,"carry-forward","drop-off",0.518471755457238,3.69392923030099,0.518187681766123
"115-57","Heavy",100,"carry-forward","drop-off",1.32739127605213,1.35512235160755,-0.311654956109618
"115-58","Heavy",100,"carry-forward","drop-off",0.819175067077627,3.32692695195351,0.246822068179719
"115-59","Heavy",100,"carry-forward","drop-off",0.775316874279409,4.75556052444976,-0.0994312879147776
"115-60","Heavy",100,"carry-forward","drop-off",1.03319257840714,4.7940605734839,0.199024825586457
"115-61","Heavy",100,"carry-forward","drop-off",0.42514169379706,8.73350746458323,0.123388170309488
"115-62","Heavy",100,"carry-forward","drop-off",0.669368609785648,3.13468054073679,0.163720690110222
"115-63","Heavy",100,"carry-forward","drop-off",0.596278536776327,5.26530680485375,0.159968231653066
"115-64","Heavy",100,"carry-forward","drop-off",0.700357026880999,4.2769269774678,0.238108247165221
"115-65","Heavy",100,"carry-forward","drop-off",0.759007662619563,2.18472026647949,0.528836054038455
"115-66","Heavy",100,"carry-forward","drop-off",1.32598938807562,-2.24131721810178,0.0783059214274323
"115-67","Heavy",100,"carry-forward","drop-off",0.682932156250421,6.01561854977873,0.31449232444047
"115-68","Heavy",100,"carry-forward","drop-off",0.74786757760809,2.8486270107778,0.443253052164837
"115-69","Heavy",100,"carry-forward","drop-off",0.442708113359113,7.38829362331923,0.33906677266996
"115-70","Heavy",100,"carry-forward","drop-off",0.760427497761549,4.117428138956,0.26730505898173
"115-71","Heavy",100,"carry-forward","drop-off",0.825544498616824,3.70272730486108,0.220836112938858
"115-72","Heavy",100,"carry-forward","drop-off",0.545731969397702,5.76770127333474,0.396830135548434
"115-73","Heavy",100,"carry-forward","drop-off",0.753465329381128,2.69555165190899,0.395017234093366
"115-74","Heavy",100,"carry-forward","drop-off",0.960296785863572,3.07847518992895,0.065273280173642
"115-75","Heavy",100,"carry-forward","drop-off",0.824195213431985,4.14205378143337,0.43464054099151
"115-76","Heavy",100,"carry-forward","drop-off",1.11913034914936,0.305011439021498,0.150069383897476
"115-77","Heavy",100,"carry-forward","drop-off",0.871770194503166,1.51643356899299,0.177544021656626
"115-78","Heavy",100,"carry-forward","drop-off",1.10894518398673,1.76816569746546,0.266583898705428
"115-79","Heavy",100,"carry-forward","drop-off",0.696268211989862,4.79645507280239,-0.0200535453942469
"115-80","Heavy",100,"carry-forward","drop-off",1.05874562793039,0.055683002045993,0.294808594525387
"115-81","Heavy",100,"carry-forward","drop-off",1.25247340611621,0.624519948945383,0.106149265914963
"115-82","Heavy",100,"carry-forward","drop-off",1.01396444942168,-0.974205663280366,0.68752852750885
"115-83","Heavy",100,"carry-forward","drop-off",0.908562405860663,2.07949658228212,0.323372300401397
"115-84","Heavy",100,"carry-forward","drop-off",0.55479129023779,4.31949256664378,0.211755679119276
"115-85","Heavy",100,"carry-forward","drop-off",0.730371238086164,3.53284521125043,0.108417353088001
"115-86","Heavy",100,"carry-forward","drop-off",0.217253211015897,8.92879513656439,0.549102588197792
