"sim","censoring","n","interpolate","extrapolate","alpha_aq","beta_aq","gamma_aq"
"114-1","Heavy",100,"carry-forward","drop-off",1.45228826972646,0.442019084114546,-0.13023606811844
"114-2","Heavy",100,"carry-forward","drop-off",0.863470198907322,1.90813158480199,0.280491463498668
"114-3","Heavy",100,"carry-forward","drop-off",1.28277277718805,-1.33337526541422,0.150519328986945
"114-4","Heavy",100,"carry-forward","drop-off",1.12253186528299,1.42713628595729,0.178191066930871
"114-5","Heavy",100,"carry-forward","drop-off",1.14022867682612,2.14342204042372,0.0792057853177095
"114-6","Heavy",100,"carry-forward","drop-off",0.747343822802869,4.03175235930975,0.43416780850349
"114-7","Heavy",100,"carry-forward","drop-off",0.871168027604726,1.7308997835463,0.207024861896831
"114-8","Heavy",100,"carry-forward","drop-off",0.706242822375109,6.03906933497163,0.248851439810128
"114-9","Heavy",100,"carry-forward","drop-off",0.978229628407246,1.5852665186657,0.339913840832988
"114-10","Heavy",100,"carry-forward","drop-off",0.745626078409471,1.97100128376508,0.614602580214752
"114-11","Heavy",100,"carry-forward","drop-off",1.14315130855513,-0.510072303638225,0.470408666250256
"114-12","Heavy",100,"carry-forward","drop-off",1.34895972425562,0.127806096444058,-0.0128547002968441
"114-13","Heavy",100,"carry-forward","drop-off",0.931870640510254,1.97375552070883,0.59313453024968
"114-14","Heavy",100,"carry-forward","drop-off",0.30298029976066,8.11435540054272,0.0502006295779545
"114-15","Heavy",100,"carry-forward","drop-off",0.741553756880455,0.502052812550217,0.846318311911059
"114-16","Heavy",100,"carry-forward","drop-off",1.39505956473202,-1.16056884723431,0.160725932826296
"114-17","Heavy",100,"carry-forward","drop-off",0.920781594082088,3.57958329185434,0.267458692961476
"114-18","Heavy",100,"carry-forward","drop-off",1.30307236293871,-2.36297550942493,0.230659280050152
"114-19","Heavy",100,"carry-forward","drop-off",0.841288084805259,0.674927305574981,0.592648628862675
"114-20","Heavy",100,"carry-forward","drop-off",0.386273773427149,5.26815353763766,0.437087194537164
"114-21","Heavy",100,"carry-forward","drop-off",1.16642608902027,-1.74098886994696,0.529997796278488
"114-22","Heavy",100,"carry-forward","drop-off",0.783662717182455,4.95268955049645,0.190187840999884
"114-23","Heavy",100,"carry-forward","drop-off",1.13299283797453,0.0456361212473108,0.527814768577538
"114-24","Heavy",100,"carry-forward","drop-off",0.921000419050744,3.04606568386012,0.287755826316059
"114-25","Heavy",100,"carry-forward","drop-off",1.41373673455454,-2.4159098967153,0.251168662921443
"114-26","Heavy",100,"carry-forward","drop-off",1.25306615009003,-1.83499388165521,0.286220759251222
"114-27","Heavy",100,"carry-forward","drop-off",1.10643985117746,1.82479269909272,-0.00794810790765835
"114-28","Heavy",100,"carry-forward","drop-off",0.943197503066152,2.76871496926339,0.0953286456075619
"114-29","Heavy",100,"carry-forward","drop-off",0.889234342188425,3.98114149681127,0.261313996091684
"114-30","Heavy",100,"carry-forward","drop-off",1.67985189275993,-1.49798920504495,-0.0230060345459184
"114-31","Heavy",100,"carry-forward","drop-off",1.11225409544974,0.92990735756497,0.196537930787607
"114-32","Heavy",100,"carry-forward","drop-off",1.52299961407101,-1.74788471509082,0.0293793100227559
"114-33","Heavy",100,"carry-forward","drop-off",1.26729039950623,-0.994012223984841,0.00808777930820852
"114-34","Heavy",100,"carry-forward","drop-off",0.795208246201081,5.83661940113239,0.242257318357464
"114-35","Heavy",100,"carry-forward","drop-off",1.10607635772465,-0.258359875758233,0.687845883881099
"114-36","Heavy",100,"carry-forward","drop-off",0.780985757664316,3.82502549185717,0.131947495737314
"114-37","Heavy",100,"carry-forward","drop-off",1.34914470291914,2.20527643840261,-0.299163928882163
"114-38","Heavy",100,"carry-forward","drop-off",1.19378906616151,-0.440051256792765,0.225709568503128
"114-39","Heavy",100,"carry-forward","drop-off",0.452165375539325,4.76046172298751,0.457921554289407
"114-40","Heavy",100,"carry-forward","drop-off",0.86299444595226,0.72311718694017,0.375738374509433
"114-41","Heavy",100,"carry-forward","drop-off",0.874099070931474,-0.172011989759282,0.554160718714154
"114-42","Heavy",100,"carry-forward","drop-off",0.861730277716428,4.81196195766085,-0.134768494785271
"114-43","Heavy",100,"carry-forward","drop-off",1.01985211661026,2.20272795608162,0.228263342547116
"114-44","Heavy",100,"carry-forward","drop-off",1.05839646890414,0.674295728026235,0.278914879339969
"114-45","Heavy",100,"carry-forward","drop-off",0.838765855616548,1.25095613227018,0.758379534794556
"114-46","Heavy",100,"carry-forward","drop-off",1.48139126490336,-2.8141261833888,0.0465826691049349
"114-47","Heavy",100,"carry-forward","drop-off",1.20843106956457,-0.838436239070779,0.354195824350726
"114-48","Heavy",100,"carry-forward","drop-off",0.871451761184116,1.92776416210005,0.140072002580937
"114-49","Heavy",100,"carry-forward","drop-off",0.762989191354599,4.47888422432319,0.340010225727576
"114-50","Heavy",100,"carry-forward","drop-off",1.107744655966,1.067931492465,0.419928575363575
