"sim","censoring","n","interpolate","extrapolate","alpha_aq","beta_aq","gamma_aq"
"114-1","Heavy",100,"carry-forward","weibull",1.519148376961,-0.0370076157214386,-0.139855449913033
"114-2","Heavy",100,"carry-forward","weibull",0.845921014635994,0.0515760384893609,0.372694488887364
"114-3","Heavy",100,"carry-forward","weibull",1.21693253597967,-0.0972904925347241,0.145461650040234
"114-4","Heavy",100,"carry-forward","weibull",1.14880960676621,1.04117317398082,0.187349904588446
"114-5","Heavy",100,"carry-forward","weibull",1.20866211771573,0.0496934615913304,-0.284683704415774
"114-6","Heavy",100,"carry-forward","weibull",0.611546680840312,0.358987606435836,0.693871003633312
"114-7","Heavy",100,"carry-forward","weibull",0.864861965226053,1.36154123811845,0.216239390671564
"114-8","Heavy",100,"carry-forward","weibull",1.02373472932542,0.235985746250134,-0.0460273221283777
"114-9","Heavy",100,"carry-forward","weibull",1.00892160133129,0.466789366413314,0.0609629632683735
"114-10","Heavy",100,"carry-forward","weibull",0.866034246894054,0.0867870398905724,0.456218090200331
"114-11","Heavy",100,"carry-forward","weibull",1.11141376789871,-0.0390738445973133,0.470122753774647
"114-12","Heavy",100,"carry-forward","weibull",1.43363650567187,-0.1081104539278,-0.0701725685711421
"114-13","Heavy",100,"carry-forward","weibull",1.06755107526272,-0.000994011192268981,0.708704466449088
"114-14","Heavy",100,"carry-forward","weibull",0.369294359840065,0.361677640720013,0.386402533172566
"114-15","Heavy",100,"carry-forward","weibull",0.7143291198156,0.482609609038189,0.874633277236128
"114-16","Heavy",100,"carry-forward","weibull",1.40587301690236,-0.10473090110391,0.0926932618425702
"114-17","Heavy",100,"carry-forward","weibull",0.921105360432829,0.67459508649363,0.269837269786229
"114-18","Heavy",100,"carry-forward","weibull",1.33268918194548,-0.0184752777504335,0.128630367664554
"114-19","Heavy",100,"carry-forward","weibull",0.850226088966741,0.449773037439769,0.601178315519848
"114-20","Heavy",100,"carry-forward","weibull",0.459575583492835,0.0766423754934556,0.554030684917776
"114-21","Heavy",100,"carry-forward","weibull",1.11479839313927,-5.79093275709975e-05,0.535842993739933
"114-22","Heavy",100,"carry-forward","weibull",0.600927885045759,0.0279384815909659,0.626286651382633
"114-23","Heavy",100,"carry-forward","weibull",1.08118287150697,0.188159463793917,0.521073535029859
"114-24","Heavy",100,"carry-forward","weibull",0.543537260122698,0.121414812941953,0.605594710645185
"114-25","Heavy",100,"carry-forward","weibull",1.21495576476808,-0.0508999029056897,0.254259761970698
"114-26","Heavy",100,"carry-forward","weibull",0.848398786311238,0.129220807514346,0.503126337229279
"114-27","Heavy",100,"carry-forward","weibull",1.11132729350036,0.944738666542356,-0.0410709000537115
"114-28","Heavy",100,"carry-forward","weibull",0.972361596328833,0.567437830998411,0.145600068469911
"114-29","Heavy",100,"carry-forward","weibull",1.03861919414941,0.0679998563715885,-0.31168301091076
"114-30","Heavy",100,"carry-forward","weibull",2.08516670061093,-0.162366183045021,-0.528784682839958
"114-31","Heavy",100,"carry-forward","weibull",1.0757997642202,0.958937134614364,0.163215375889946
"114-32","Heavy",100,"carry-forward","weibull",1.42402786879364,-0.468798741458248,0.0232475651727863
"114-33","Heavy",100,"carry-forward","weibull",1.25012209313652,-0.51253976940926,0.191575659563682
"114-34","Heavy",100,"carry-forward","weibull",1.02144513449656,0.0142082304787005,0.0275209518723967
"114-35","Heavy",100,"carry-forward","weibull",1.14105298468063,-0.511373979572448,0.753183572141695
"114-36","Heavy",100,"carry-forward","weibull",0.70648690952968,0.122177364237439,0.350797038997927
"114-37","Heavy",100,"carry-forward","weibull",1.44731815001667,0.110664454690227,-0.281661429615338
"114-38","Heavy",100,"carry-forward","weibull",1.19488783946877,-0.439408775260558,0.241040470055451
"114-39","Heavy",100,"carry-forward","weibull",0.777748375641235,0.30211015590166,0.485196088299261
"114-40","Heavy",100,"carry-forward","weibull",0.866233696413928,0.55960913074119,0.378636549680391
"114-41","Heavy",100,"carry-forward","weibull",0.962212851564493,-0.19794940278624,0.528448686581864
"114-42","Heavy",100,"carry-forward","weibull",0.947948965488274,0.0339924977945185,-0.472885316521974
"114-43","Heavy",100,"carry-forward","weibull",1.17158365990508,0.0739965891138953,0.254647705543172
"114-44","Heavy",100,"carry-forward","weibull",1.12119401688007,-0.00271510406128753,0.284121724996963
"114-45","Heavy",100,"carry-forward","weibull",0.836121994514387,0.325375118159608,0.78046798401158
"114-46","Heavy",100,"carry-forward","weibull",1.31641276979059,-0.0377643109845422,0.0792180133549388
"114-47","Heavy",100,"carry-forward","weibull",1.212386848235,-0.396924065227152,0.372094193667405
"114-48","Heavy",100,"carry-forward","weibull",0.84265818259142,1.66778471261367,0.1410247683829
"114-49","Heavy",100,"carry-forward","weibull",0.896687740037907,1.93113888672768,0.312775118159682
"114-50","Heavy",100,"carry-forward","weibull",1.17978423795744,0.142678074624894,0.419767158749851
"114-51","Heavy",100,"carry-forward","weibull",0.919349573829035,0.783060574429898,0.086751545617487
"114-52","Heavy",100,"carry-forward","weibull",1.23639410982831,0.00124331953674378,0.0514064172267497
