"sim","censoring","n","distX","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull","alpha_expo","beta_expo","gamma_expo","se_alpha_expo","se_beta_expo","se_gamma_expo","alpha_drop","beta_drop","gamma_drop","se_alpha_drop","se_beta_drop","se_gamma_drop","time_weibull","time_expo","time_drop"
"11428-1","heavy",500,"gamma",50,0.516,0.959608884744494,0.511269702778862,0.250683914734907,1.84570849404398,0.348253385148912,0.543601314125954,0.165683946919944,0.0525528672429223,0.212277485602804,1.81400198333659,0.369319198424604,0.565779350038731,0.171388893338104,0.0555819427151528,0.196785836124646,1.7518523776956,0.390667226121812,0.597782454957737,0.165435610446474,0.0600206460070184,0.190928526714149,381.873,386.811,380.83
"11428-2","heavy",500,"gamma",50,0.52,0.852495399936688,0.51552579273152,0.388170023736135,1.80705322244739,0.300980793841123,0.809425391676194,0.181826702867226,0.0552211267777882,0.22308579531339,1.72788468233425,0.332455549259247,0.872635703425358,0.186070091419522,0.0580067135056433,0.202149172980576,1.66407305059495,0.366104218174887,0.884538251432488,0.197366668532019,0.0688800832430688,0.222130821707902,384.540999999999,384.09,379.489
"11428-3","heavy",500,"gamma",50,0.516,0.901930511860662,0.528854771320518,0.157976651233661,1.64568015108903,0.388483795181191,0.724346103564569,0.165131679477606,0.0566756538294248,0.195559359587101,1.59398122855291,0.407644400588234,0.730612360873565,0.156785972919462,0.0543615980184166,0.196757504601312,1.61177136754241,0.404378652993434,0.709875519411331,0.150195620885292,0.0500096656189933,0.196173824558489,380.332,386.223,379.867999999999
"11428-4","heavy",500,"gamma",50,0.508,1.14676860997935,0.492538178415799,0.146991254906801,2.15658030703559,0.262756177572669,0.343159996644399,0.168225352881827,0.0491345777514012,0.216224200988761,2.08524675074517,0.310005247367381,0.369350790730215,0.167190337376117,0.052800112693525,0.226051858273767,2.05944112045324,0.322808800453459,0.388841499780451,0.192053468750704,0.0570334691560199,0.21714366280253,371.367,368.175999999999,368.224
"11428-5","heavy",500,"gamma",50,0.512,1.06159849855816,0.507875016811659,0.175669116029463,1.89266088877733,0.376036903297177,0.321755672099221,0.167920470388912,0.0649489520684529,0.185642930831748,1.79856032078303,0.437941257062487,0.33744060094705,0.172704217179469,0.0513314407681516,0.223438591779947,1.80029573022645,0.458609851155812,0.331005578637497,0.163412469592749,0.0536528012449577,0.187958592223218,365.344999999999,370.751,368.547
"11428-6","heavy",500,"gamma",50,0.51,1.08978059180829,0.480835703669286,0.157449815684296,1.94444509254683,0.277565525568231,0.316655791390857,0.149595087180031,0.0703877542790155,0.194322911178698,1.73361959600723,0.416373886131492,0.350746255830919,0.160665339846509,0.0594723037982658,0.191512180232953,1.66511341054109,0.486557676143147,0.354415589633406,0.154144316088749,0.0544028613941757,0.178946833146656,351.001999999999,355.848,356.892
"11428-7","heavy",500,"gamma",50,0.524,1.06738668620709,0.484047897281611,0.194319184014315,1.90377237766686,0.279214899956955,0.572667688711887,0.174601236492185,0.0544434292827472,0.194498277681938,1.82104914489575,0.321355876189857,0.573913095927337,0.154915419528779,0.0509104962314556,0.18290317468347,1.81038858885296,0.346500729262953,0.578167942034633,0.150444805036775,0.0573982261737537,0.190184193241712,379.940999999999,387.622000000001,384.021000000001
"11428-8","heavy",500,"gamma",50,0.544,1.09443682057458,0.48309220976499,0.189831997862432,1.93346223858982,0.350218764920455,0.445510506581187,0.165512991786535,0.056291372630266,0.192758501444978,1.84565865600085,0.395960157772382,0.510764778710051,0.169722208151184,0.0603509138627012,0.199075349078838,1.82511833870655,0.402461426098256,0.466310025234226,0.155023327711624,0.0516904100997345,0.204931888078048,404.511,401.062000000002,400.361000000001
"11428-9","heavy",500,"gamma",50,0.516,0.850778936017487,0.500034861086492,0.462153211864208,1.76304498121569,0.271347492183714,0.829350926194341,0.179577014561597,0.0623749294817519,0.191609467123972,1.70846919821623,0.325565613502541,0.833533463199122,0.161547256507363,0.0564882526595989,0.186735253010531,1.67265442591231,0.362609459968668,0.852391999818426,0.166857562708966,0.0591428632318249,0.188013034409734,371.816000000003,375.175999999999,373.785
"11428-10","heavy",500,"gamma",50,0.482,0.98711524012347,0.490040524672044,0.164607040951602,1.85404079978566,0.321627582829092,0.414113190888715,0.168503712182133,0.0540317301641738,0.210379182437983,1.84643404219607,0.331943351676982,0.405302083770521,0.16529585417121,0.0607546560374835,0.191568071765311,1.81826807924946,0.345458218987591,0.410939683830558,0.175558361444889,0.0605278635074772,0.195936898137348,366.507000000001,365.973000000002,359.268
"11428-11","heavy",500,"gamma",50,0.494,0.910113444500844,0.513086618833596,0.231878411509115,1.86592053392426,0.268549768302551,0.594015440265353,0.175320238343408,0.0614243410796027,0.211580216651705,1.83300093953276,0.301051648820858,0.599709222356606,0.177445197948281,0.0517428643841124,0.208188317781048,1.79326749458268,0.327790947076069,0.584662534033771,0.188992099740063,0.0515632020459938,0.204231956380462,361.185000000001,366.576000000001,359.408000000003
"11428-12","heavy",500,"gamma",50,0.508,1.08807410714368,0.501087851299821,0.0910067341112493,2.05815950409299,0.255879646292517,0.440113892009164,0.163081292770167,0.0523722650918565,0.226550505197827,1.94103069781215,0.331039869800457,0.449428866689323,0.159975864747265,0.0461165013363219,0.213026006218565,1.91787619711254,0.355523250283416,0.476226712437509,0.172389560464813,0.0606865553074503,0.228046235972602,368.047999999999,370.924999999999,367.161
"11428-13","heavy",500,"gamma",50,0.492,0.96121954334643,0.512670285641416,0.329839282849721,1.82947570688226,0.392139079868698,0.55177143307162,0.181225144348786,0.0730115270209926,0.210321012844744,1.78477575111412,0.414836338525225,0.585933656716589,0.173220397583521,0.0645227470146133,0.203806862206004,1.77534971861008,0.43035646504916,0.589217196986289,0.176923876814392,0.0659824133974429,0.191421129884893,364.459999999999,365.755999999998,360.055
"11428-14","heavy",500,"gamma",50,0.49,1.04517759888203,0.4865753820218,0.355351366415672,1.75643460175879,0.363988547394337,0.727644386114713,0.164770685597984,0.055632227993462,0.204675418404019,1.72306768907217,0.37821454296366,0.797362163111843,0.172235537832615,0.0559295619821362,0.194737340711198,1.69403532430502,0.380769904952478,0.821594088985088,0.170141601729587,0.0571794207891864,0.186750641890501,370.201000000001,375.921999999999,373.524999999998
"11428-15","heavy",500,"gamma",50,0.49,0.838782592412233,0.512327191158248,0.430824412804123,1.72027703409084,0.323685274060965,0.738139115574657,0.161952197433236,0.0497799945819508,0.203696875428504,1.66857168922056,0.357059552777389,0.765246030045989,0.162403465392451,0.0508616816966534,0.191517425914075,1.63050606602635,0.374618540008689,0.788404974709516,0.169359497428832,0.0526030025901089,0.196490782671318,365.256000000001,366.882999999998,365.424999999999
"11428-16","heavy",500,"gamma",50,0.56,1.07500243647709,0.494263327550609,0.12407143446124,2.05115600544515,0.257601365930994,0.364916754697019,0.160260091372533,0.0583874913465617,0.194546145813068,1.98035063815593,0.30287545191162,0.368981439911826,0.1554613111501,0.0518775237682155,0.212905982079222,1.94215893173296,0.335026190705965,0.385871234569892,0.168126734384634,0.0607697177658736,0.183969878632759,395.654999999999,396.385999999999,397.323999999997
"11428-17","heavy",500,"gamma",50,0.528,0.910172920542871,0.500474933161156,0.203844694692704,1.96512975482448,0.217708086747813,0.478387950628094,0.166476180878544,0.0535976713235159,0.208562792522244,1.87139963094781,0.276314756535937,0.51056018668318,0.175586880012826,0.048585953017271,0.203276368277832,1.82719441592257,0.289059755589901,0.555708514150995,0.170521455971371,0.054931363866726,0.198460792088454,365.054,371.642,371.972000000002
"11428-18","heavy",500,"gamma",50,0.478,1.17711021670669,0.465645121448779,0.145295261026535,1.76039822286853,0.375745939310209,0.455550909511879,0.159346692278943,0.0596026487212003,0.179335260750964,1.75437141077341,0.378962750183671,0.442176285264456,0.176892527687014,0.066006859851739,0.199186075296746,1.7757006090114,0.375295782472074,0.420098176225587,0.169273783363673,0.0578813463226296,0.176175659606706,363.274000000001,363.667000000001,361.778000000002
"11428-19","heavy",500,"gamma",50,0.488,1.04696880022042,0.502754861118822,0.191666539052243,2.04746907431597,0.250547324389849,0.449253455119203,0.179418926466497,0.0573189576577484,0.203655496182974,1.94605883139304,0.300205907264537,0.507056700430969,0.17370265225119,0.0506763712960227,0.190366189052306,1.90478814521542,0.325525466274171,0.516200445141472,0.172845223041006,0.0532727557666704,0.224775580511116,356.758999999998,360.162,352.636999999999
"11428-20","heavy",500,"gamma",50,0.494,0.897359773288081,0.522441430074265,0.324421926057283,1.83761930857284,0.334591967941582,0.527924513671371,0.165159024068734,0.0573807423350277,0.198882615960123,1.76800884477399,0.366679943149216,0.502101634356946,0.152568446878719,0.049951031364615,0.201574132204356,1.75458725351923,0.393822409066291,0.508395495928127,0.151311206652955,0.0497644663927781,0.186944546767073,375.463,369.139999999999,372.041000000001
"11428-21","heavy",500,"gamma",50,0.532,0.940588174785021,0.510739164742809,0.136967478528811,1.69695147158066,0.346037028923986,0.591334787075616,0.178240743745297,0.0592498204862385,0.205558436107096,1.62772352164971,0.372953719957163,0.636507837968785,0.157893827139075,0.0498958877166406,0.189645416715313,1.59535286736158,0.383173138581894,0.681086713112611,0.164631603982456,0.0529721191393544,0.179244731583746,391.113000000001,387.449000000001,392.34
"11428-22","heavy",500,"gamma",50,0.454,1.02662054379679,0.515949120523541,0.0696657756142229,1.76947388281744,0.317302709226295,0.38136536185799,0.138505893849096,0.044925673829066,0.181476466157842,1.75718731210721,0.343741272055667,0.384634676817499,0.159962585518679,0.04561505623512,0.192364620926403,1.71162573880196,0.359123027860881,0.421691724638855,0.158777548733479,0.0474472744320229,0.175855756888533,334.133999999998,334.268,332.284000000003
"11428-23","heavy",500,"gamma",50,0.482,1.07569266020373,0.51079341476613,0.180615271974039,1.93533430124126,0.327368357747387,0.485858377761128,0.172595676598067,0.0556325875847996,0.185802685264621,1.85784675224024,0.373931606136966,0.501084816950016,0.160591860219684,0.0454091953162991,0.186982660035427,1.81924956067173,0.393588846569769,0.478707982082015,0.164660374523349,0.0523309139952267,0.205482912122748,354.247000000003,357.812000000005,350.650999999998
