"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_non_extrap","beta_non_extrap","gamma_non_extrap","se_alpha_non_extrap","se_beta_non_extrap","se_gamma_non_extrap"
"11437-1","extra_heavy",2000,0.8105,0.952688432181431,0.556763688913099,0.281880102307207,0.966606872521765,0.549376074423423,0.180405509919326,0.0571543256229056,0.194283662291355,0.0859410928166262,0.896105143708759,1.12536761742218,0.413143223897242,0.086672370166358,0.344277287658323,0.0649914753570156
"11437-2","extra_heavy",2000,0.814,0.961892966216441,0.492909538760958,0.18877736174511,0.956083260521663,0.600301487989424,0.209558309922026,0.0698914052743809,0.272423364280885,0.0890580483302721,0.883067740567482,1.27887085027684,0.337817489006797,0.0994099663835759,0.467005741780448,0.0620458187175197
"11437-3","extra_heavy",2000,0.812,1.02111541245688,0.483494833403787,0.149331762091005,0.974147045652068,0.60437783627921,0.139753680270978,0.0775805063718722,0.334330525868778,0.0844360806752805,0.898781461086391,1.34236525092331,0.297864296736878,0.0968212897190961,0.394552604835817,0.0677841234135457
"11437-4","extra_heavy",2000,0.813,0.982589513573635,0.474032229719258,0.295598015958153,0.985684774214055,0.559764652262561,0.356689287482354,0.0710845220125796,0.234761062753823,0.075547600392588,0.965978638678821,0.823019941750291,0.433982944305683,0.0890731826516208,0.425800012464015,0.0819726487098707
"11437-5","extra_heavy",2000,0.809,1.02867420319972,0.48566930302724,0.255486049852203,0.985337183187093,0.619441308349732,0.199806251671707,0.0707487643191824,0.206958676327577,0.0769356654137912,0.899921908473583,1.43630070096633,0.379510797759461,0.0888328738950704,0.429072980422467,0.0753668320947567
"11437-6","extra_heavy",2000,0.8145,1.08162284308752,0.450725213681231,0.159524929644264,1.11145842013305,0.408817431108311,0.183420702965294,0.0627164971663036,0.210712190118331,0.0771642589681178,1.07793164437124,0.655971519900425,0.278453423076686,0.0764072916973655,0.335640609637371,0.0704173511240622
"11437-7","extra_heavy",2000,0.8255,0.956022323255733,0.517932290620628,0.315128332455573,0.987109070162037,0.542574797775,0.318501659050849,0.074136760565283,0.259187724046574,0.110588915691263,0.892140120557705,0.948167339359254,0.476279146153107,0.0823760615493817,0.340363746223892,0.0749593703458619
"11437-8","extra_heavy",2000,0.8165,1.02633415577631,0.531130379330452,0.21028919339249,1.04614179892304,0.412359379694061,0.261139249567591,0.0749695268579434,0.197776887945179,0.0797213199055418,0.983483392793784,1.04939493766821,0.386672599328766,0.0945385198978416,0.43572403308829,0.073888512047124
"11437-9","extra_heavy",2000,0.8185,1.06877871049674,0.466387016247865,0.212694044480871,1.09726115490051,0.508950149429915,0.253520198371255,0.0707009199898038,0.274637842134744,0.0860122967574344,1.04475029892422,0.914339799685572,0.331817155786925,0.082510600070749,0.375531743577757,0.0627328258178955
"11437-10","extra_heavy",2000,0.818,0.990809051279817,0.450917271155505,0.364716556549737,0.990864002438872,0.576259898149995,0.366270712346302,0.0728511193342904,0.274829997776134,0.0795257297830144,0.954525657476804,0.85803110818666,0.489678291825511,0.0933024726248087,0.430132608107241,0.0606651935381304
"11437-11","extra_heavy",2000,0.8095,1.00894380064571,0.524693213489859,0.190832928673175,0.979346217437009,0.60400227682481,0.225539959042801,0.0762465059212304,0.28346724104206,0.0842374499305481,0.942628219437534,1.17213584039576,0.343044407039186,0.0860493208170336,0.472600618845619,0.0715264402391201
"11437-12","extra_heavy",2000,0.8075,1.00348587341399,0.54576664202117,0.198173023233986,0.986572426805087,0.680950238880058,0.166193062570822,0.0641819275215376,0.250399113309202,0.0910405627012737,0.892339446550657,1.28735613993888,0.371239086795028,0.0856499057568406,0.36254647097507,0.0615291835879076
"11437-13","extra_heavy",2000,0.8205,1.04029881246518,0.482416405956437,0.24470706562519,1.04524101317018,0.435928527085037,0.240160697859599,0.0654247589654756,0.166278971369315,0.0857109278063027,0.977731446137478,1.12579462608464,0.381673657253954,0.0918100805148666,0.451841150983295,0.0588982960061913
"11437-14","extra_heavy",2000,0.824,1.04223646354307,0.47425154155613,0.217517075976712,1.04017397088895,0.37497684759099,0.158882549987279,0.0744050121811251,0.157103202540148,0.0983393057751642,0.939929776643078,1.03649756135156,0.360633441031565,0.0907978052651969,0.360074324203584,0.0606542554976003
"11437-15","extra_heavy",2000,0.8145,0.936125666546906,0.511837049298149,0.354410688142966,0.960249380854774,0.396813449537279,0.367178650269417,0.0628380057986886,0.205667687522677,0.0765910654382584,0.855870059415125,1.1456051266483,0.512303275755897,0.0748388639716378,0.345268344770673,0.0600858341387535
