"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_non_extrap","beta_non_extrap","gamma_non_extrap","se_alpha_non_extrap","se_beta_non_extrap","se_gamma_non_extrap"
"11433-1","light",500,0.18,1.00609023221121,0.435240861859861,0.196864270002095,1.00900756319547,0.481462621049803,0.164311136466034,0.062583470461278,0.0795354432662843,0.0873643885065702,0.991309486333959,0.47408156695349,0.2129362041433,0.0644931835418057,0.0870377365215448,0.0863907914523086
"11433-2","light",500,0.14,1.00018631431581,0.54647923463851,0.189686302797937,1.02490377431668,0.479156895433459,0.195459322323783,0.0647140458218263,0.0962303589262385,0.0904602647259268,1.00464804188446,0.464846924080647,0.242133104530403,0.064128975570306,0.0761964948742436,0.0885586137406693
"11433-3","light",500,0.172,1.0707174830033,0.407888027824123,0.125957995620736,1.0588642009054,0.439729086685392,0.134541661849662,0.0710801662969213,0.101375785141648,0.0948369750896656,1.0382288443745,0.420557217559578,0.177240879385523,0.0729629076584136,0.090958047838796,0.0928008895594299
"11433-4","light",500,0.17,1.02532792813906,0.467734376797821,0.378602103645256,1.00164397250799,0.530322459559212,0.416873307736371,0.0704418714616827,0.0948148298188798,0.0884429680742412,0.994206648716305,0.529287121042795,0.447004788989683,0.0720446875057537,0.100318903259017,0.0882385401474963
"11433-5","light",500,0.144,1.06413406925444,0.432939297839249,0.0639267319762532,1.05140670485851,0.49299720763295,0.0621744030384019,0.0657487310317971,0.0886070712768409,0.086870317946993,1.04390374926785,0.437642832496259,0.107141715476966,0.0668710965058031,0.0802638452187203,0.0859213742352022
"11433-6","light",500,0.17,0.945104781693004,0.65301562589593,0.0448699177033889,0.954940585590622,0.615079336249425,0.0412852794224037,0.0647733356192323,0.0750688859382466,0.0948505063573712,0.983798856973973,0.368082543674772,0.20278091670483,0.0745482865436672,0.12422603881736,0.0968110717586929
"11433-7","light",500,0.196,0.999561963355141,0.505841587796599,0.167231632651632,1.02032662836376,0.444207702458257,0.165984270873107,0.0700016546630139,0.0769978492448824,0.095806650781447,1.01600429299098,0.357996714973697,0.251729968321695,0.0705082133448127,0.0654498935363848,0.094155751041003
"11433-8","light",500,0.168,0.966805803929496,0.439060177600595,0.412766405223178,0.97367147909165,0.395258464222908,0.434959924448514,0.0671535264915269,0.0946826398719601,0.098760641961541,0.95653281209397,0.372702943256277,0.475987824914054,0.0691699273062214,0.0895066515484794,0.0963595605360643
"11433-9","light",500,0.154,1.0209446229022,0.488821885236107,0.139464628723874,1.00343714529095,0.562035638241973,0.109235445661787,0.0685748488359046,0.0893257737245482,0.0886078398303322,0.99196830312241,0.493776858878838,0.177047508131652,0.0719907711881559,0.109995617808922,0.089403186864386
"11433-10","light",500,0.154,1.1391083755343,0.454621973184359,0.148261467530566,1.14783923996288,0.430811783572507,0.16280711689858,0.077333036384783,0.107193517996646,0.100732271718763,1.13047076250517,0.432718027069294,0.192331881879851,0.0781395357327962,0.1037690008222,0.0987935630891642
"11433-11","light",500,0.148,0.943141762148478,0.515924142988748,0.326471771569417,0.93696283525027,0.516453152340406,0.356154727590171,0.0697617988827685,0.0780727588739291,0.0985265963419179,0.913318265501937,0.508239009867642,0.399727549562806,0.0704647623034632,0.0751352286908854,0.0977319726184842
"11433-12","light",500,0.162,0.97446186101276,0.677104205791036,0.261959637173098,0.972451998561104,0.678002504374574,0.25535424778337,0.0698310385795506,0.07474838081259,0.0921948530514317,0.961562368738985,0.605580414315758,0.332686374691681,0.0715478393872183,0.0769235784254034,0.0921216119994176
"11433-13","light",500,0.168,0.978903458255323,0.558342619044,0.259153474692361,1.00062735125354,0.475642026126479,0.250376500067071,0.0631575138115969,0.0445798618323509,0.0935529250351359,0.964154470208116,0.390004765088542,0.42545903126171,0.0684754452967259,0.0797070754346336,0.0954056088644499
"11433-14","light",500,0.182,1.08623583275011,0.384579127832643,0.227302999741731,1.06440706179936,0.502118978643003,0.213127902332056,0.0771656291416859,0.111932903867053,0.0913433045784657,1.06575112491757,0.433329797457375,0.258686938346417,0.0788564359634293,0.106297982713326,0.0908651387596899
"11433-15","light",500,0.17,0.967575422680813,0.528122506082185,0.243528831227388,0.958928825519724,0.568504517752805,0.244799345502062,0.0648913956510482,0.0916223190960649,0.093121990832861,0.982549971668819,0.335470273977445,0.384840145450324,0.0665994338248676,0.0854865321418537,0.0928737064962262
"11433-16","light",500,0.184,0.863359112425702,0.399484283529108,0.39619979564055,0.852968998385037,0.464702779336607,0.381770927375332,0.0699287050017212,0.0881127997435207,0.0984342734236807,0.82969767772501,0.449421874949458,0.442331687945303,0.071069032429031,0.0871783278149297,0.0963385103977591
