"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","alpha_extrap_pooled","beta_extrap_pooled","gamma_extrap_pooled","nse_alpha_extrap","nse_beta_extrap","nse_gamma_extrap","bse_alpha_extrap","bse_beta_extrap","bse_gamma_extrap","ese_alpha_extrap","ese_beta_extrap","ese_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","alpha_extrap_no_pooled","beta_extrap_no_pooled","gamma_extrap_no_pooled","nse_alpha_extrap_no","nse_beta_extrap_no","nse_gamma_extrap_no","bse_alpha_extrap_no","bse_beta_extrap_no","bse_gamma_extrap_no","ese_alpha_extrap_no","ese_beta_extrap_no","ese_gamma_extrap_no","time_extrap","time_extrap_no"
"11430-1","light",500,0.172,1.00637146185982,0.440527299060734,0.299131544208783,1.03080810309057,0.42644723196605,0.35308060006256,1.03342019577273,0.421833423341366,0.354764135753464,0.0688933657900733,0.083285317139019,0.0931965882851078,0.0992879780147875,0.12060620508503,0.129231604940698,0.0716909830153763,0.0865808127105447,0.0898370524699451,1.01224120416769,0.446473218430729,0.311525975622796,1.01247178796103,0.440383494451866,0.313200737733408,0.0695158085613589,0.0828729490020963,0.0946994741726444,0.101810213199468,0.116428775462705,0.130486984168629,0.0743024167586293,0.0809490171728931,0.0896972735164318,3.59200000000001,0.689000000000021
"11430-2","light",500,0.164,1.04026152016594,0.493637248878271,0.156673144699,1.01917619104781,0.626584035645922,0.181445036506168,1.02192783085014,0.634502137074715,0.171495825164176,0.0740387831537013,0.105467974585298,0.0936033526926525,0.102269395171928,0.15011790969623,0.131223386631024,0.0707837129609598,0.106745080088458,0.0923042550083826,1.01208112639483,0.607036969701921,0.163499007656036,1.01530387498225,0.602053548341932,0.163971163208431,0.0752616943778844,0.10649093996447,0.0944309711148756,0.106685064312618,0.150321449540367,0.136543159730038,0.0756468875799118,0.105507021673256,0.0987043919483947,3.21700000000001,0.688000000000017
"11430-3","light",500,0.164,1.01979951852349,0.594304016183145,0.0951279363906949,1.0358282789963,0.593707874018615,0.152902415800774,1.03870976411733,0.593658270841334,0.150019984134364,0.0708278495053484,0.0942655979761741,0.0971782573977081,0.0976622637739992,0.132861793689376,0.132286969270969,0.0672249327358665,0.0921623058912578,0.0898995267784695,1.01383609667762,0.652671112713371,0.104983374998111,1.0085249176471,0.656895412445296,0.110434228573958,0.0723890868389664,0.106486148476916,0.0998767128405456,0.101828026180193,0.154684279096728,0.139918009274016,0.0715102602854181,0.11129663799909,0.0979335027115874,3.26400000000001,0.692000000000007
"11430-4","light",500,0.158,1.03509353899703,0.51378330720149,0.21378763447009,1.03306566570492,0.564482708684329,0.250711263614578,1.02865301232977,0.560597258679257,0.255891885157329,0.0644016401384169,0.0790000328308194,0.0859228473666274,0.0933257773866065,0.115485580744949,0.121348737698484,0.0675736670577804,0.0834708396522834,0.0859047419157703,1.00410590794414,0.602044899550926,0.217604217938983,1.00534706776494,0.597383718686118,0.219265931375411,0.0654781477493862,0.0820500867339629,0.0865421076238073,0.0910598928121145,0.120358147048198,0.121116012621905,0.0633745465149883,0.0878806970671941,0.0850750299329919,3.47199999999998,0.694999999999993
"11430-5","light",500,0.174,1.05323551082711,0.376303268745967,0.278667832673262,1.07840508048589,0.324377167886873,0.298390139951944,1.07472376441445,0.331759243174977,0.303181067197021,0.0678604530580912,0.0865103348201233,0.093033018276055,0.0945054518558844,0.127884564519205,0.129436907356964,0.0656477573350713,0.0929776855815109,0.0899499809239366,1.05894939889263,0.361271654542125,0.27597743205813,1.05371538292861,0.364450941097924,0.280676162020541,0.0692117829258488,0.0914218344913923,0.0936364916186108,0.0977971801400344,0.132712494279741,0.131210076785286,0.0694721965388438,0.0966000595212747,0.0924178996510508,3.36199999999999,0.687000000000012
"11430-6","light",500,0.2,1.02809381401995,0.494443086580636,0.189539497085154,1.03335768242112,0.540634191849563,0.22856381094251,1.03329855948278,0.54190389814659,0.226560761879877,0.0670337472533268,0.0916914558888404,0.0909374858528087,0.0922544865996101,0.130046033048989,0.130463459813411,0.0635366915329478,0.0914723570846648,0.0939693310883306,1.01015400771807,0.574857340742112,0.167420200346307,1.01131771222915,0.574032907557596,0.16614970879184,0.0675630024225091,0.0912755593453216,0.0927168136382043,0.0957108531279454,0.13018857045519,0.133176691828868,0.0679560798643238,0.0919262385268394,0.0957911370847347,3.929,0.683999999999997
"11430-7","light",500,0.176,1.00629606229493,0.382823244667962,0.326593160386303,1.03490421894671,0.313392302864036,0.35987860080296,1.0366551681441,0.313087867605126,0.354928488796656,0.0710096758364293,0.0710545173230184,0.0985776318939195,0.101839652642917,0.118671545062991,0.139329285766933,0.0730018727804199,0.0931898076607525,0.0986522445298107,1.0074740265542,0.38155752172216,0.311766107102577,1.01508247843905,0.380969102855188,0.309386437300917,0.0720302225405813,0.0793806890974758,0.100376853012111,0.10113776154351,0.129935555320228,0.140495711389453,0.0709644745850526,0.102240466970591,0.0983563472197974,3.45100000000002,0.692000000000007
"11430-8","light",500,0.174,0.956923753567471,0.527119179780643,0.272779576494654,0.963479627513938,0.559155109657929,0.336266283432832,0.967689858035881,0.558592693581681,0.328168046483805,0.070299242059659,0.090800605586008,0.0942074547476686,0.0970351680928831,0.136935382843747,0.13496996314565,0.0669418539590206,0.10140906397477,0.096678137203314,0.937157703976686,0.603716751507275,0.274107092181837,0.936884692617008,0.600959927489191,0.276299330079596,0.070397785604337,0.0887890290798309,0.0953092319052416,0.0998541280836311,0.134107877375223,0.133915726855751,0.0709064424909978,0.100192454411805,0.0942369937611403,3.67000000000002,0.693999999999988
"11430-9","light",500,0.168,0.849017805532854,0.516829363316219,0.35303372829852,0.876449233888502,0.441918542973109,0.462035397510936,0.880159735602794,0.44347444871169,0.4547665775788,0.0747455142758427,0.0917561500511838,0.10154104856691,0.103985096894435,0.150109369302296,0.14377219296086,0.072391939530572,0.117229577701517,0.102147373742929,0.851824539192053,0.512216755180138,0.401372645966624,0.854848243762956,0.513952394304918,0.396980119925237,0.0749720065081552,0.0943969194069205,0.103164835942847,0.103805331211622,0.155892807865268,0.146954209761987,0.0716262237851832,0.123507912796547,0.104298325500492,3.34,0.691000000000003
"11430-10","light",500,0.182,0.932428426934949,0.521414171339624,0.292368899606274,0.943674935032154,0.510832119134163,0.359342542105898,0.944456280608325,0.513042610508556,0.35338097655037,0.0739940256646365,0.101810365673491,0.0965154205261442,0.104848747586938,0.139468873038036,0.134112089559507,0.0743705837366995,0.0948853782971749,0.0934072324070193,0.911298427742852,0.553808506550926,0.313876107070431,0.915420382244124,0.556898090788184,0.30942475322239,0.074469714091384,0.0971595155136324,0.0970446751762928,0.10659882680513,0.141035788662911,0.131996096905869,0.0763644268941953,0.102178342567553,0.0896024405771283,3.80000000000001,0.686000000000007
