"sim","censoring","n","distX","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull","alpha_expo","beta_expo","gamma_expo","se_alpha_expo","se_beta_expo","se_gamma_expo","alpha_drop","beta_drop","gamma_drop","se_alpha_drop","se_beta_drop","se_gamma_drop","time_weibull","time_expo","time_drop"
"11423-87","heavy",2000,"t",0.492,0.982568905580033,0.504641794242702,0.259996872651013,NA,NA,NA,NA,NA,NA,1.30131796649524,0.647960772992896,0.244477458219286,0.0532998882342664,0.0365085235945348,0.0691743837591006,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-88","heavy",2000,"t",0.5025,0.985246202201622,0.495689297343959,0.250536203479008,NA,NA,NA,NA,NA,NA,1.29768913155743,0.640815498459435,0.215150459429581,0.0528010969200762,0.0437359432786284,0.0685214928355277,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-89","heavy",2000,"t",0.501,0.984978479470437,0.499917822569099,0.278993912444046,NA,NA,NA,NA,NA,NA,1.34364947162465,0.677755474364731,0.242895446294644,0.0536989533455177,0.0449585229003598,0.0688782987173838,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-90","heavy",2000,"t",0.4845,0.995411960103569,0.499864612149047,0.23169634460417,NA,NA,NA,NA,NA,NA,1.33282686214271,0.659345643851723,0.206916044865059,0.0529026940851244,0.0350679067750581,0.0679617287798502,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-91","heavy",2000,"t",0.5095,0.966246917657109,0.471890609566072,0.236852389947877,NA,NA,NA,NA,NA,NA,1.29726016366952,0.63134021119036,0.1927246382993,0.0510165658717287,0.032653729659827,0.0668236005606956,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-92","heavy",2000,"t",0.488,0.999448498315461,0.507546726799819,0.234180026340748,NA,NA,NA,NA,NA,NA,1.34815893267708,0.681240801776985,0.210158466391052,0.0513744312088244,0.0399574606447549,0.0686981732058117,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-93","heavy",2000,"t",0.485,0.93000283086316,0.482373463015867,0.33014008748998,NA,NA,NA,NA,NA,NA,1.244993016916,0.588789035696872,0.277881088693336,0.0541649745126302,0.0423906696237989,0.0684298368311153,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-94","heavy",2000,"t",0.4875,0.964635406511534,0.530636014972458,0.288016027620314,NA,NA,NA,NA,NA,NA,1.33570271176449,0.689867843186465,0.254500951923884,0.0543514621803682,0.037694404391917,0.0705069556443299,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-95","heavy",2000,"t",0.4955,1.02743924839124,0.47825471244335,0.232894424802789,NA,NA,NA,NA,NA,NA,1.34688795708886,0.632745208446651,0.222090611256674,0.0515283235661758,0.040922283638398,0.0663428747957594,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-96","heavy",2000,"t",0.482,0.992135606978836,0.505800249744675,0.273049751802062,NA,NA,NA,NA,NA,NA,1.30979103694478,0.644060393621784,0.2482952092272,0.0524184296064157,0.0356267251880867,0.0678014852168116,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-97","heavy",2000,"t",0.502,1.01732761865653,0.494989167034122,0.215041472264228,NA,NA,NA,NA,NA,NA,1.32874870408967,0.630393575684609,0.207523826818779,0.0540694264546798,0.0366127051638429,0.0691272274076552,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-98","heavy",2000,"t",0.494,1.01075749653038,0.500653874048992,0.244964698763341,NA,NA,NA,NA,NA,NA,1.32253538476343,0.638632894823312,0.202005425662776,0.0535712617642636,0.0472074940264113,0.068878767965188,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-99","heavy",2000,"t",0.4865,1.07949543373615,0.501008704109181,0.160423236257084,NA,NA,NA,NA,NA,NA,1.38326187202448,0.608346052907395,0.114569542209527,0.0510668378084488,0.0421527903011243,0.0671591486218402,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11423-100","heavy",2000,"t",0.486,0.975972683761503,0.512890840795177,0.309411161284015,NA,NA,NA,NA,NA,NA,1.29291969231988,0.639505331907706,0.274333620660968,0.0516583444020655,0.0337409207121721,0.0689137357226979,NA,NA,NA,NA,NA,NA,NA,NA,NA
