"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr","time_aq","conv_msg_aq","time_tr"
11623,"light",2000,0.1205,0.960744038821707,0.581538735153795,0.254394688349381,0.95933339438981,0.581032718927612,0.25810803831284,0.0499272498811512,0.0830756092113838,0.0625961499588475,0.955230010576948,0.604728507157775,0.260378520281483,0.0495936501151488,0.0856179105164019,0.0618525425411799,26.419,NA,0.105000000000018
11624,"light",2000,0.1255,0.966793530687583,0.525040610935841,0.281908842069582,0.971948973638967,0.485913588248408,0.284721183846917,0.0525645832201236,0.0774643210501324,0.064825538516824,0.967728568774426,0.502979887866249,0.283922220168213,0.0521544158268208,0.0794052220290491,0.0643200082362743,31.9419999999999,NA,0.107999999999947
11625,"light",2000,0.1205,1.02323806478323,0.483235526721832,0.238368970366183,1.03083674672143,0.448827254584311,0.237850631834765,0.0494992457241379,0.0765050975140178,0.0636858964084743,1.0240130621606,0.48062598347844,0.237664234727631,0.051171827150817,0.082036630158562,0.0639507261506237,28.6030000000001,NA,0.105000000000018
11626,"light",2000,0.121,0.982611224450848,0.534663696876682,0.221311587007306,0.991606430613545,0.508083932229988,0.221079604342832,0.0500624578587416,0.0829392711814223,0.0655191856754495,0.989677989796111,0.514225589444636,0.222845948558616,0.0516245461793585,0.0862162827131058,0.065172722729981,28.932,NA,0.107999999999947
11627,"light",2000,0.1265,0.935577394213717,0.614879680313673,0.26811275255355,0.928677850007209,0.64974926284834,0.255164794064025,0.0518026260442394,0.0892573047338075,0.0647453649854506,0.923124025968822,0.667224147213775,0.257274558092623,0.0540181073446906,0.0905397170259753,0.0663224316055658,30.7999999999998,NA,0.110999999999876
11628,"light",2000,0.1275,1.02880961259473,0.487673371927106,0.232936551813145,1.01780306015072,0.542672298919182,0.229666102572562,0.0552332091377946,0.0922594042412618,0.063798343285434,1.01564565953773,0.551985031341033,0.230033215223875,0.0546497684481541,0.0945811906944101,0.064958960470868,21.886,NA,0.107999999999947
11629,"light",2000,0.126,1.0038997907904,0.449388022984833,0.293371845148025,0.990408127324172,0.479641964211007,0.30391954688982,0.0527285795516755,0.0908025918577756,0.0627496138778808,0.989264244918836,0.485040763569886,0.302092962958542,0.0524826435624768,0.0912114966056475,0.0640539199420345,22.2760000000001,NA,0.11200000000008
11630,"light",2000,0.1165,1.03620838910528,0.442012119016852,0.271102539412244,1.03486638493389,0.439306037151161,0.270499175788508,0.0506549936235501,0.0827918830251722,0.0630975737195602,1.03224336753232,0.447875929331585,0.275765953553154,0.0514464303902008,0.0867014066060181,0.0635077575237985,27.8489999999999,NA,0.104000000000042
11631,"light",2000,0.122,0.979808429514691,0.407787328562004,0.268282146022295,0.987403743752111,0.380854439368582,0.265128087504319,0.0512179943755144,0.0842746440649831,0.0620953322446751,0.983950979753161,0.39288197291037,0.26541201599302,0.0519122080392207,0.0871028018219245,0.0630654448945382,24.9680000000001,NA,0.108000000000175
11632,"light",2000,0.118,0.95669789766667,0.576831524838607,0.264073932640467,0.958692798032743,0.54737669373015,0.268818442742525,0.0505450847507136,0.0772128301044547,0.063148656431544,0.955929420767871,0.546892699300104,0.271959613852855,0.0523304956199826,0.0793403748460824,0.0633174211231429,29.73,NA,0.103999999999814
11633,"light",2000,0.129,0.998057462829366,0.550521011933523,0.243296260895403,0.98249134198972,0.588238156033777,0.246472947544281,0.0512663546675707,0.0882929670395649,0.0640878112946582,0.982941745147906,0.596651210184652,0.244301586068235,0.0511136117763789,0.0892190386299432,0.064370417579633,26.96,NA,0.108999999999924
11634,"light",2000,0.128,0.991257871832267,0.474943040824322,0.263541596647004,0.984774400427818,0.502254135647393,0.260641956933696,0.0517569614276968,0.0861051877680156,0.0635607510213261,0.985031974679005,0.499982400713394,0.262469704730001,0.0529394850572241,0.0874181268123231,0.0628143902574161,24.0260000000001,NA,0.108999999999924
11635,"light",2000,0.127,0.996524105214429,0.496234973712496,0.293908819766663,0.996513563517982,0.482438168773705,0.297896503221577,0.0513983739230313,0.0784465136162932,0.0625842034050345,0.992781950968188,0.492313947516575,0.298965092831442,0.0518390210286194,0.0846233523521553,0.0633249538450851,24.6369999999999,NA,0.1099999999999
11636,"light",2000,0.1275,1.04130708586754,0.42401870739826,0.208566693770924,1.04415655693437,0.400453501433663,0.211659907122328,0.0517631560248827,0.0808741168693506,0.0656132189556602,1.04152844414488,0.414535571794443,0.209208657101783,0.0530964178000006,0.0876946051384973,0.0654356315319347,31.2649999999999,NA,0.1099999999999
11637,"light",2000,0.1235,0.996376808702901,0.53472294499682,0.240579017247435,0.994999534930908,0.52922099810485,0.245010889023541,0.0500494223674914,0.089060620903784,0.0626887092837956,0.993924720060216,0.534241926834344,0.244208396815931,0.0511544647013858,0.0918123191535481,0.0617804671787953,26.704,NA,0.106999999999971
11638,"light",2000,0.116,0.986697287201437,0.44456857374603,0.276153761471572,1.0092581318559,0.365537734784272,0.273136402148043,0.0493717952127889,0.0814743041844233,0.0636013272429979,1.0076188652837,0.376062562323581,0.273360664119694,0.0497875641746382,0.0838991265279063,0.0633705081388753,29.107,NA,0.104000000000042
11639,"light",2000,0.1355,1.07191034230178,0.492230108447328,0.13756233067902,1.05512643433972,0.544728730785929,0.134222196047399,0.0523242968812531,0.0914221527007471,0.0655741519167522,1.05790989596557,0.546244595471769,0.13202058126731,0.0516661148315869,0.0921936979984722,0.0630291667974381,24.6219999999998,NA,0.11200000000008
11640,"light",2000,0.1405,1.03322901297132,0.447419281995402,0.214168860253515,1.0293831338744,0.455162301439578,0.217211924247799,0.0507314984601074,0.0847848739220152,0.0625094920567932,1.02782091775309,0.467147268298029,0.217858453582211,0.0500738175528139,0.0874381444243185,0.0624859638263652,29.0889999999999,NA,0.117999999999938
11641,"light",2000,0.124,1.03577796009416,0.456823757369214,0.220337499725716,1.03076230565864,0.473987320402153,0.226092937126145,0.0519831088183193,0.0945144550891134,0.062432591396811,1.03267513910534,0.471734010358922,0.226507093872382,0.0516647355698904,0.0963572854120014,0.0625531963689923,21.5720000000001,NA,0.110000000000127
11642,"light",2000,0.126,1.08868977698109,0.418578495707479,0.147769014994759,1.10581347779737,0.358534199769243,0.145698494409817,0.0535192212017556,0.0954691363592387,0.0645297244463626,1.10358959304058,0.367510566446793,0.14392396430202,0.0536542288344007,0.094731608989229,0.064713202110436,29.799,NA,0.107999999999947
11643,"light",2000,0.1375,0.956351416328646,0.494185243010216,0.319056170715237,0.972610547918601,0.433987633895707,0.319099486509369,0.0513146321086544,0.0867232190453728,0.0627868818723562,0.970649898446278,0.441406177945841,0.320947585600272,0.0510598787225682,0.089070443193557,0.0622386710855323,30.114,NA,0.114000000000033
11644,"light",2000,0.125,1.02047909223117,0.475403316263046,0.276273883543712,1.02294212665779,0.468543157128333,0.274103977445463,0.0522393320486621,0.0861658103203974,0.0630994410634786,1.02049605205028,0.477009266855592,0.275083169279555,0.0515469659355166,0.0901027285894453,0.0633481613686737,26.5,NA,0.107999999999947
11645,"light",2000,0.1255,1.0111845356739,0.456774946820304,0.231021385139444,1.02378437840146,0.412554038253223,0.231883133562843,0.0528582074342959,0.0890489602687246,0.0638838016133017,1.0170694939159,0.429442075815805,0.237507336010819,0.0517654619417829,0.0888624750415357,0.0638016092650362,23.223,NA,0.1099999999999
11646,"light",2000,0.119,1.0398456647044,0.48047274018465,0.173328845318864,1.04376525861812,0.477861276286248,0.169973738198675,0.0512428333389283,0.0956284434434293,0.0623922342728481,1.04143182180761,0.48339890123463,0.168343762544197,0.050917316964617,0.0949699666801212,0.0632683774983051,23.8499999999999,NA,0.105999999999995
11647,"light",2000,0.1155,0.991101987215647,0.478038070236771,0.250004460984662,0.988643472083852,0.485892800354458,0.24542251624572,0.0516123096887478,0.0833600970004308,0.0645660776626008,0.987510526071314,0.496519335332179,0.243075694870916,0.0507899462871051,0.0876931534232829,0.0623037926996273,24.7250000000001,NA,0.104000000000042
11648,"light",2000,0.1215,0.943933213454435,0.642311511104846,0.266703422479448,0.94624325266299,0.647394930124223,0.268845563402398,0.0542906198018949,0.0941119774597853,0.0633169646793745,0.943996669068159,0.650739420704992,0.267958009945494,0.0543472953688311,0.0984970419718247,0.0652226462389846,23.779,NA,0.105999999999995
