"sim","censoring","n","perc_censored","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr","alpha_fc","beta_fc","gamma_fc"
"114-1","Heavy",100,0.69,1.519148376961,-0.0370076157214386,-0.139855449913033,1.53363790378843,-0.295527910320557,-0.132134655440127,1.41971168204301,0.203054774408797,-0.116514093800755
"114-2","Heavy",100,0.75,0.845921014635994,0.0515760384893609,0.372694488887364,0.787399432839308,1.60478552462507,0.273442645703519,1.03173249109202,0.563786580037159,0.232426350501529
"114-3","Heavy",100,0.78,1.21693253597967,-0.0972904925347241,0.145461650040234,1.20692382355512,-0.33216106975032,0.151094376583282,0.899598108791179,0.62370086178688,0.223144561279928
"114-4","Heavy",100,0.79,1.14880960676621,1.04117317398082,0.187349904588446,1.11397610644596,1.62617316216458,0.165682992233621,0.888938051521468,0.872035535079296,0.171791960217426
"114-5","Heavy",100,0.86,1.20866211771573,0.0496934615913304,-0.284683704415774,1.13644860197652,1.54436393202635,0.0957998078897716,0.992075312056858,0.333098796404949,0.557358848585731
"114-6","Heavy",100,0.76,0.611546680840312,0.358987606435836,0.693871003633312,0.688112859607424,3.35586449285783,0.406631045312192,0.976765800101667,1.23880739379855,0.0618088578502601
"114-7","Heavy",100,0.72,0.864861965226053,1.36154123811845,0.216239390671564,0.879433791457937,1.73221880503252,0.202309319511583,1.14091405701273,0.462599638395678,0.151695173593609
"114-8","Heavy",100,0.78,1.02373472932542,0.235985746250134,-0.0460273221283777,0.720362774052602,4.33150093422058,0.316395579053165,0.845461744130517,0.352256736359658,0.406036410722535
"114-9","Heavy",100,0.81,1.00892160133129,0.466789366413314,0.0609629632683735,0.952721670294586,1.25214472622373,0.363388406018647,1.09975658852957,0.233863644907556,0.0909140149188918
"114-10","Heavy",100,0.82,0.866034246894054,0.0867870398905724,0.456218090200331,0.822810494233973,0.644685314154102,0.634848904943972,0.760474565010179,0.975377644656419,0.279932917530971
"114-11","Heavy",100,0.81,1.11141376789871,-0.0390738445973133,0.470122753774647,1.11811236948725,-0.199656823224391,0.467612083363625,0.59642673988542,1.15728811670425,0.573084707506893
"114-12","Heavy",100,0.77,1.43363650567187,-0.1081104539278,-0.0701725685711421,1.3080813739252,0.445024617668898,-0.0163739652956843,0.982291942062203,0.548686167953418,0.507792967259768
"114-13","Heavy",100,0.81,1.06755107526272,-0.000994011192268981,0.708704466449088,1.07235431942542,-0.428718074732777,0.602599986688654,0.992272229765725,0.462334712491348,0.343695821303624
"114-14","Heavy",100,0.86,0.369294359840065,0.361677640720013,0.386402533172566,0.277406439840659,6.05697981777031,0.00599785154769431,0.924942856945099,0.563372972180006,0.328449515926147
"114-15","Heavy",100,0.67,0.7143291198156,0.482609609038189,0.874633277236128,0.777630512395552,0.400634951632237,0.813104686643702,1.20541426577377,0.88945928298277,-0.338108519364197
"114-16","Heavy",100,0.78,1.40587301690236,-0.10473090110391,0.0926932618425702,1.39374403965813,-0.967330357410145,0.177436287642941,0.963208890019465,0.445263402361198,0.482176464630208
"114-17","Heavy",100,0.72,0.921105360432829,0.67459508649363,0.269837269786229,0.892142222659651,3.37880232621856,0.262933920364916,1.20914712869132,0.167040708288742,0.112331218262314
"114-18","Heavy",100,0.82,1.33268918194548,-0.0184752777504335,0.128630367664554,1.52081955555504,-3.12253206048105,0.232013494765057,1.09723012469317,0.129077062066976,0.429546784411467
"114-19","Heavy",100,0.78,0.850226088966741,0.449773037439769,0.601178315519848,0.841474748433168,0.749455311004627,0.586604929545175,0.878921083189852,0.507122811928493,0.595629382069236
"114-20","Heavy",100,0.82,0.459575583492835,0.0766423754934556,0.554030684917776,0.386017830552966,4.12829107615984,0.420705745869492,1.01847020511576,0.927187828073874,0.11078228500838
"114-21","Heavy",100,0.79,1.11479839313927,-5.79093275709975e-05,0.535842993739933,1.08001159939781,0.0798004868816535,0.517365125716878,1.04899273987694,0.490493580701634,0.102615501097771
"114-22","Heavy",100,0.83,0.600927885045759,0.0279384815909659,0.626286651382633,0.541552832897948,2.97831442743887,0.158332914720944,0.85704901687876,-0.102783885024063,0.808664656038121
"114-23","Heavy",100,0.72,1.08118287150697,0.188159463793917,0.521073535029859,1.11399710717228,0.191796210834789,0.527347856616961,0.990525001941338,0.620850886015236,0.425764812777632
"114-24","Heavy",100,0.82,0.543537260122698,0.121414812941953,0.605594710645185,0.845854400609078,2.28378747847061,0.282667349456242,1.20544350697733,0.386657510137732,0.0238115671312238
"114-25","Heavy",100,0.83,1.21495576476808,-0.0508999029056897,0.254259761970698,1.29653905763104,-0.796187409625768,0.259594427773549,1.08910828258277,0.518111806188956,0.217701453148383
