"sim","censoring","n","perc_censored","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr","alpha_fc","beta_fc","gamma_fc"
"114-1","Light",100,0.08,1.42391994362865,0.188606475612385,-0.119872862852281,1.42343100774417,0.189442691273805,-0.119677374293921,1.41971168204301,0.203054774408797,-0.116514093800755
"114-2","Light",100,0.08,1.3590784539264,0.49439093875038,-0.0875354167537914,1.35794310379504,0.497399514639032,-0.0879033381365017,1.03173249109202,0.563786580037159,0.232426350501529
"114-3","Light",100,0.08,1.01478495918951,0.459959991133613,0.22433825437428,1.01488228248702,0.46061483306997,0.224946116314351,0.899598108791179,0.62370086178688,0.223144561279928
"114-4","Light",100,0.1,1.13475883241408,0.287603705216733,0.187488386336827,1.13053187611638,0.30662031274607,0.185322679305228,0.888938051521468,0.872035535079296,0.171791960217426
"114-5","Light",100,0.13,0.943407741552831,0.157648386032844,0.357116088609902,0.941375767831906,0.168604251660688,0.356640007509651,0.992075312056858,0.333098796404949,0.557358848585731
"114-6","Light",100,0.09,1.0030718807864,0.207161431337348,0.237408708651519,1.00134173234226,0.217200515135322,0.235854302834347,0.976765800101667,1.23880739379855,0.0618088578502601
"114-7","Light",100,0.14,0.995549167821964,-0.0167261045301199,0.16536192935208,1.01811627217435,-0.104817270702364,0.170168094055797,1.14091405701273,0.462599638395678,0.151695173593609
"114-8","Light",100,0.21,1.15876093929873,0.439497603507556,0.414784277069096,1.14430361686914,0.489503748275251,0.415832301105848,0.845461744130517,0.352256736359658,0.406036410722535
"114-9","Light",100,0.13,1.1251516273006,0.442911293206808,0.1442526458381,1.12932110578608,0.444503108603673,0.142880361552714,1.09975658852957,0.233863644907556,0.0909140149188918
"114-10","Light",100,0.09,1.08471823102894,0.233238728631165,0.160997783380553,1.08501379069803,0.235371321172279,0.160422997681366,0.760474565010179,0.975377644656419,0.279932917530971
"114-11","Light",100,0.09,0.939743196941581,0.404951591285282,0.367755386832472,0.935553300752728,0.432528782241555,0.365674709650531,0.59642673988542,1.15728811670425,0.573084707506893
"114-12","Light",100,0.14,0.974230751387635,0.425540802072419,0.245617901696085,0.97256063486918,0.442224598416445,0.245010018527925,0.982291942062203,0.548686167953418,0.507792967259768
"114-13","Light",100,0.12,0.721550303813719,0.709075972251396,0.405281641694142,0.717794623860439,0.748587127053463,0.403127517610702,0.992272229765725,0.462334712491348,0.343695821303624
"114-14","Light",100,0.09,1.03421704326641,0.799774317330408,0.327078808361007,1.03352065189526,0.804153736834301,0.331184692328948,0.924942856945099,0.563372972180006,0.328449515926147
"114-15","Light",100,0.15,1.41408807811496,0.425287314806246,-0.0900667034694747,1.41778433981341,0.421911589436868,-0.0894507995830474,1.20541426577377,0.88945928298277,-0.338108519364197
"114-16","Light",100,0.14,0.905357619085802,0.853051113381306,0.253617660581395,0.905907760734145,0.850048830309762,0.253577966074103,0.963208890019465,0.445263402361198,0.482176464630208
"114-17","Light",100,0.12,1.11982292258755,0.761657466528399,0.153134266945772,1.09266372310878,0.915114729888387,0.155600948547086,1.20914712869132,0.167040708288742,0.112331218262314
"114-18","Light",100,0.07,0.788564089457485,0.61004819341914,0.428223442652442,0.788369523362243,0.613724947842831,0.427693106901989,1.09723012469317,0.129077062066976,0.429546784411467
"114-19","Light",100,0.11,1.4175949890375,-0.137169100897265,0.0660125091290852,1.41918327753204,-0.143063931437739,0.0656446419821061,0.878921083189852,0.507122811928493,0.595629382069236
"114-20","Light",100,0.13,1.01202248614617,0.692860749694773,0.307608811624116,1.0140544642952,0.694202033560681,0.31340677682391,1.01847020511576,0.927187828073874,0.11078228500838
"114-21","Light",100,0.08,0.977193271942825,0.859452621414542,0.104105774627961,0.977050993573266,0.861264370445893,0.104015403873526,1.04899273987694,0.490493580701634,0.102615501097771
"114-22","Light",100,0.13,0.993551531031908,0.495829819999409,0.217692541317259,0.992223013579393,0.490271206766025,0.219208202361314,0.85704901687876,-0.102783885024063,0.808664656038121
"114-23","Light",100,0.15,0.81969486580598,0.626874534580047,0.352106640759637,0.806192955606082,0.692093531058611,0.358499551213762,0.990525001941338,0.620850886015236,0.425764812777632
"114-24","Light",100,0.12,1.00460412315317,0.700389191011481,-0.0919680734651512,1.01044832416032,0.705657456887849,-0.0966231328599549,1.20544350697733,0.386657510137732,0.0238115671312238
"114-25","Light",100,0.12,1.09491209070081,0.677419137725829,-0.122691981736751,1.09296550823057,0.675895924394979,-0.122124690298155,1.08910828258277,0.518111806188956,0.217701453148383
"114-26","Light",100,0.14,1.17314343236283,0.352919925619906,0.0354605289113002,1.17064202407646,0.363348852275195,0.0360375215141969,0.937702976206149,0.86489913766849,0.304194360902126
"114-27","Light",100,0.12,1.08708387236762,0.0398284354390348,0.187975194917856,1.09026756299689,0.0303675376619644,0.187281570160831,1.0806303561271,1.07342986085848,-0.0504436211428085
"114-28","Light",100,0.19,1.07737025557623,0.188935809027576,0.227906851260929,1.07330029389966,0.21197542942518,0.226437749028766,0.689962235228734,0.657258722961198,0.711621954178594
"114-29","Light",100,0.11,1.37603269079936,0.228336930752079,-0.0998369065810091,1.37616908432835,0.22900773570704,-0.099831060923108,0.852641264597903,0.88141122431398,0.124480768237704
"114-30","Light",100,0.08,0.940118039678696,0.363434325369734,0.486564508842088,0.94297996216118,0.369379515840447,0.48402472427101,1.17992906922012,0.469316384035002,-0.185604157726479
"114-31","Light",100,0.17,1.15569886107805,-0.0300178165156699,0.109743523915042,1.16907293588497,-0.108868237978435,0.118179669048586,0.965701941325083,0.532447491185501,0.474537539232869
"114-32","Light",100,0.0600000000000001,0.720981217571292,1.0647467351006,0.350803295276184,0.72123246540991,1.06493977582332,0.350722947352627,0.920180085708352,0.506521702124026,0.319788680360921
"114-33","Light",100,0.09,0.800390708569021,0.610894406652016,0.357115674148324,0.801695243482555,0.605526464107014,0.36028030168958,1.07279900130278,0.62520622946071,0.22803259405078
"114-34","Light",100,0.05,0.850595128354587,0.473188045117458,0.113234359593351,0.85041465248291,0.474566602501444,0.113199509870879,1.02551133066186,0.326380661209106,0.551213008408182
"114-35","Light",100,0.13,0.915548386695044,0.71420482274037,0.0264313366099347,0.907961118768961,0.698180708940629,0.0361274559618597,1.07832884410529,0.20641871445792,0.201927579833819
