"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr","time_aq","conv_msg_aq","time_tr","dist"
11423,"heavy",2000,0.495,0.995205432936981,0.503184676829604,0.267800252851424,0.99912964054163,0.485379477068882,0.278686125681141,0.0899335499902283,0.0680869825770559,0.0639113805225275,0.98741531934654,0.496158314208106,0.281906511447915,0.0900519205325684,0.0688477819738787,0.0647768745439357,8.313,NA,0.298,"LOGNORMAL"
11424,"heavy",2000,0.5005,1.01114852377033,0.503642668850697,0.281167466406848,1.02487031111309,0.49360058560049,0.284407014892771,0.0946546289473697,0.0735972040517583,0.0657248847084169,1.01723861287884,0.504765943975009,0.284320251041819,0.0970216984795515,0.0767321530068402,0.0637100079658373,9.024,NA,0.291999999999998,"LOGNORMAL"
11425,"heavy",2000,0.4965,1.08422427126445,0.453500577146818,0.207967768766974,1.1272803799321,0.419553618395595,0.209490818417986,0.0966129114584334,0.0736403058596892,0.0660961381484957,1.12802389846482,0.422013557201096,0.208691977719813,0.0955910980754799,0.0730774464071984,0.0644005291768124,8.365,NA,0.296999999999997,"LOGNORMAL"
11426,"heavy",2000,0.508,1.04860691928314,0.450462551856396,0.284068209994431,1.00925176409774,0.484399604699245,0.281872257377406,0.0923339921151194,0.0706780954715348,0.0631617075389409,0.990175263946353,0.502605678731082,0.283926714969038,0.0935512862431756,0.0720039571422206,0.0630462855064369,7.472,NA,0.298000000000002,"LOGNORMAL"
11427,"heavy",2000,0.4895,0.99364100788329,0.518921858974757,0.197839226334589,1.03328845908261,0.497801457279454,0.182188146750388,0.0990930582123535,0.0791632724117359,0.0642866630305852,1.03509367889455,0.497412971761067,0.182224073013384,0.0992894298729336,0.079284156383675,0.0655738952987199,7.97199999999999,NA,0.287999999999997,"LOGNORMAL"
11428,"heavy",2000,0.4995,0.983887179138621,0.492730557945298,0.291357726019237,1.04289071881545,0.44611520547894,0.272369598673985,0.0874769813050473,0.066706772508298,0.0657648003108391,1.03352689990249,0.456170853863009,0.273386362586277,0.0868366429257398,0.0659211700327309,0.0645851077588985,8.117,NA,0.293000000000006,"LOGNORMAL"
11429,"heavy",2000,0.508,1.00338919016092,0.471791206782772,0.25138189479714,1.03524760174317,0.447632400918749,0.256683074448371,0.0938427905584861,0.0710677576063154,0.0649706153918406,1.02316443300023,0.460245248655717,0.256598971287279,0.0974664783280453,0.0742904975134292,0.0650244291614607,8.166,NA,0.295000000000002,"LOGNORMAL"
11430,"heavy",2000,0.4925,1.01802772378887,0.49604168999361,0.273970614579467,1.02116912598866,0.483004463150835,0.27885088288314,0.0904934251447814,0.0702286883687359,0.063714112673367,1.01880619590476,0.486448831716273,0.282062678732459,0.0897460293721141,0.0700965974569617,0.063251669805633,8.15299999999999,NA,0.289000000000001,"LOGNORMAL"
11431,"heavy",2000,0.498,0.984364917721655,0.508157786587788,0.292258461000513,1.03023364538133,0.460344512709593,0.295010330222396,0.0888929801716039,0.0692259615282183,0.0636983359286018,1.00599688612212,0.484576881151461,0.297444227464437,0.0907609094515469,0.0712750904334499,0.0629653877587215,8.075,NA,0.290000000000006,"LOGNORMAL"
11432,"heavy",2000,0.495,0.954903962774928,0.572095318787429,0.21866772748676,0.917536027562836,0.608685879529754,0.236731824601996,0.09574215017151,0.0749988332513679,0.0634558594772974,0.917284782523678,0.609473069624772,0.237840895391095,0.0929770926898202,0.0731347414116139,0.0640175137485,7.724,NA,0.286000000000001,"LOGNORMAL"
11433,"heavy",2000,0.493,0.946782276164658,0.526811433405422,0.305804516247069,1.00174232132669,0.476521429167146,0.285291589921394,0.0852659158560993,0.0632540088253772,0.0653638420561464,0.972395721610321,0.505248140553908,0.288435567603974,0.0884388901107024,0.0671165108003325,0.065999043306294,9.20600000000002,NA,0.288000000000011,"LOGNORMAL"
11434,"heavy",2000,0.5,1.04608825350182,0.50024703551638,0.199768128166499,1.07920664658137,0.475736074456787,0.192420649200591,0.0943995488282907,0.0713688629197499,0.0655557694793776,1.06828108830405,0.485789511980324,0.194938687233627,0.0949448919458796,0.0730905562252237,0.0650676232129287,8.256,NA,0.290999999999997,"LOGNORMAL"
11435,"heavy",2000,0.5055,0.947314728772757,0.516423138256898,0.251992870919443,0.974590927045943,0.484525166790802,0.227326562844789,0.0887376189468256,0.0639797157906221,0.0666641282661172,0.954218221069412,0.505279021589191,0.223488216649099,0.0895376117827954,0.0654512543848839,0.0675317131254565,6.583,NA,0.292999999999978,"LOGNORMAL"
11436,"heavy",2000,0.504,1.0606855023946,0.481062022253163,0.175126036435494,1.02773655076447,0.524704265019266,0.157182600028119,0.0931138843240672,0.0741622442468279,0.0635852275779264,1.02360029918075,0.530354038369803,0.156467384556073,0.0948836421794867,0.0751206690797072,0.0640926462398551,6.744,NA,0.288999999999987,"LOGNORMAL"
11437,"heavy",2000,0.494,0.941930565177336,0.545851923242136,0.269511455075415,0.962253520843011,0.525988646448036,0.262656227145886,0.0897044369616214,0.0681797625055608,0.0662960314633185,0.951888256596838,0.535719975193516,0.265334019258961,0.0917542345053017,0.0698850258694317,0.0661034354686997,8.303,NA,0.284999999999997,"LOGNORMAL"
11438,"heavy",2000,0.4955,1.00684478110434,0.509636413118227,0.191430383248425,1.03309013212336,0.489958540835296,0.184266478904255,0.09284409726273,0.0710676006960072,0.0642767244686433,1.02532318975142,0.495791212547184,0.187558279567771,0.0922608429404315,0.0715523702604339,0.0641783923095307,8.02799999999999,NA,0.287000000000006,"LOGNORMAL"
11439,"heavy",2000,0.515,1.00386008957984,0.465957316817502,0.286104235598391,1.04810869900221,0.431414531850354,0.272346220507212,0.093713833309989,0.0707743717019136,0.0647146121570936,1.04404437776259,0.436719381686162,0.270931383579998,0.095858549236023,0.073515368629294,0.0665750589774522,8.10300000000001,NA,0.296000000000021,"LOGNORMAL"
11440,"heavy",2000,0.485,1.016170476031,0.495204184991572,0.291721086902956,1.08025419359301,0.437479032973739,0.286062806947187,0.0905873166057577,0.0695442656954588,0.0648738767662967,1.06954433042462,0.44763266421262,0.291243502088422,0.0918129406165192,0.0713810358223965,0.0644667625932321,8.00299999999999,NA,0.283999999999992,"LOGNORMAL"
11441,"heavy",2000,0.504,1.01783738085344,0.460351889900623,0.31151052250069,1.08056263624274,0.4110736452101,0.306104469572236,0.0912233296543627,0.0702605715993613,0.0641062888617626,1.072156529888,0.421829690320526,0.302860707750991,0.0923638099194784,0.0712909943401274,0.0665152713624584,8.21999999999997,NA,0.308999999999969,"LOGNORMAL"
11442,"heavy",2000,0.5065,1.08182295783235,0.418133872239513,0.276350237361578,1.03028810769206,0.466560248691691,0.261217516053147,0.0968103322336276,0.0729576517550641,0.0661297561390305,1.02578299055689,0.471253685896818,0.25991420939998,0.0958966950821133,0.0721735339312008,0.0656152227536035,7.63200000000001,NA,0.291999999999973,"LOGNORMAL"
11443,"heavy",2000,0.501,0.963490671637511,0.503504584850218,0.339002527566545,0.916666994646414,0.544008523685573,0.343602988488365,0.0910956681641361,0.0697315012925311,0.0620593569865122,0.910300600629611,0.550855694791313,0.342701385346913,0.0912796985147184,0.0702150731460299,0.0632340249110988,7.09100000000001,NA,0.288999999999987,"LOGNORMAL"
11444,"heavy",2000,0.498,0.909513308507007,0.588076152301351,0.236696923535927,1.00693600492079,0.501951921108709,0.235709257387087,0.0891520832551556,0.0682757562266915,0.0662476505731251,0.970700132680648,0.539390203469518,0.237755501523147,0.0926168685521004,0.0728841038820538,0.0660353999744497,8.40699999999998,NA,0.288999999999987,"LOGNORMAL"
11445,"heavy",2000,0.4965,0.98069244640944,0.482606956938629,0.310456771075933,1.01841730789461,0.4499823621133,0.285572680304226,0.0895979842173842,0.0686481718692911,0.0649419142373206,0.993915246060095,0.475424392799319,0.285021611443789,0.0907647186385193,0.0712823709384347,0.0634353089590093,8.01300000000003,NA,0.286999999999978,"LOGNORMAL"
11446,"heavy",2000,0.5115,1.0268695768972,0.485001174404511,0.30097377628578,1.04615224710716,0.464323087435389,0.298332163183079,0.0960604193030223,0.073188899519832,0.0664427647130589,1.02474734646517,0.485982495441727,0.296693319206032,0.100033712711153,0.0784135773023219,0.0663036695533714,7.82400000000001,NA,0.29200000000003,"LOGNORMAL"
11447,"heavy",2000,0.4915,0.851699770418465,0.569427676919415,0.321986230261077,0.846953457778177,0.55651087846154,0.335866887160378,0.0906555633991197,0.0665094300733371,0.0636308211542528,0.840759914813428,0.564754454506172,0.335540866677621,0.0910878640209689,0.0666366634020922,0.0636564122508688,6.596,NA,0.293999999999983,"LOGNORMAL"
11448,"heavy",2000,0.4985,1.10499579987333,0.454060096909944,0.196410484806876,1.05306690212988,0.490237474070011,0.200789362633281,0.0950300443669952,0.0713724617155576,0.0657152097079583,1.04887441483936,0.496191795635534,0.199954587034935,0.0959652347750828,0.0724954654022561,0.0651306902611334,7.98599999999999,NA,0.305000000000007,"LOGNORMAL"
11449,"heavy",2000,0.499,1.09179972763295,0.450076441717698,0.283885111688714,1.09201810605225,0.440029127641641,0.307738841816368,0.0883227367919729,0.0675873001882353,0.0644329450175641,1.08804356419665,0.441957487785763,0.309697248900016,0.0954269820717407,0.072873574366621,0.0635407732845603,7.30099999999999,NA,0.288000000000011,"LOGNORMAL"
11450,"heavy",2000,0.502,1.03515192462115,0.535140444906861,0.150093699400061,1.00985579130328,0.545581983683723,0.165418800686924,0.0979634652586574,0.074543873446681,0.0659196296472144,1.00765551313502,0.54785698739829,0.166930343186148,0.0978083592967725,0.0744661651424223,0.0649795267678271,7.44099999999997,NA,0.29200000000003,"LOGNORMAL"
11451,"heavy",2000,0.5105,0.976854162129291,0.510332230849451,0.25435074229925,0.979276354638653,0.501604971281656,0.257316282015523,0.0931543288591029,0.0714051997975836,0.0632576745812107,0.980291021472481,0.501573090108671,0.257904993265654,0.0925168506676457,0.0716836644328595,0.0638356080957707,8.05900000000003,NA,0.290999999999997,"LOGNORMAL"
11452,"heavy",2000,0.483,0.965713726070061,0.536766528010827,0.272490281614929,1.02573787713957,0.479642661751841,0.254624232257279,0.0887008777804656,0.0694631079959978,0.0654481861145352,0.994042137418879,0.512187716047815,0.253581469556792,0.0904272764267813,0.0717641730331129,0.0653721055593085,8.47399999999999,NA,0.281999999999982,"LOGNORMAL"
