"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"115-1","light",100,0.11,1.21511721691494,0.602925326166053,0.208889564150082,1.26559985259528,0.346604850382732,0.206602915050309,1.25245822111788,0.352675029634689,0.268381171174868
"115-2","light",100,0.22,0.820746436057122,0.605806706543628,0.264420231750888,0.846469210898561,0.587209442709556,0.198587861982509,0.767963680896685,0.795869705364952,0.28703350760311
"115-3","light",100,0.2,1.04085201709075,0.404127430419855,0.579154136159279,1.03460016325207,0.348685453779484,0.577212621200971,1.01536528136519,0.297517995797697,0.691150370451089
"115-4","light",100,0.15,0.954028280164475,0.340701954689751,0.624949404248422,0.908006300403907,0.525287566492657,0.55851633118625,0.914495350285254,0.435961600267568,0.624170651582412
"115-5","light",100,0.14,0.799957259300888,0.375513176163106,0.704389949171228,0.813455930777638,0.324802442096662,0.716965664144642,0.792525524158532,0.299164019272011,0.777141780193945
"115-6","light",100,0.21,1.1379797488388,0.584911713515255,0.0262483382460029,1.15752477821959,0.539597513565735,0.0152957868597622,1.10391705114716,0.563894325394779,0.0887593320447711
"115-7","light",100,0.1,0.812791009249057,0.589426679283002,0.328795790173092,0.790879333374383,0.759116053583221,0.272871995556963,0.759104369228034,0.781672280246482,0.327952997447697
"115-8","light",100,0.15,0.884741410418689,0.527595039897858,0.171005501445718,0.906344646416045,0.411140579407987,0.201676669502755,0.908519118108057,0.356972907949695,0.243210320558927
"115-9","light",100,0.05,0.880150516280664,0.764674209698939,0.0321181921777995,0.883109517765116,0.748068743634634,0.0468310050821959,0.852982260386196,0.822226255342043,0.0526363198886058
"115-10","light",100,0.13,0.952388033040809,0.522792012923736,0.339229052020803,0.956912867013405,0.521961522179204,0.328619000459757,0.927463771245294,0.564064055040056,0.354111889638939
"115-11","light",100,0.13,1.16227579538317,0.592932961208575,0.248667898161443,1.11562931131562,0.737423577898371,0.323901878189944,1.10540559310405,0.784701258376517,0.339568554402666
"115-12","light",100,0.16,0.905648197173995,0.619066148337351,-0.119736768286906,0.861545620083107,0.688938515840901,-0.11380301547119,0.824685200717572,0.704289689815228,-0.0350064708416319
"115-13","light",100,0.17,0.925288630723714,0.733723825044594,0.0427632575110441,0.980109142451134,0.665514892276922,0.0313598569074171,0.928569017280019,0.550914961566198,0.168129336433208
"115-14","light",100,0.16,1.08717027515778,0.372831733915123,0.238213502183663,1.13721091366779,0.218662751321452,0.257196913510992,1.10702086741022,0.272252040649128,0.269617787379082
"115-15","light",100,0.12,1.18661715442012,0.48493348478752,-0.282634254059609,1.15933069531807,0.591387717584822,-0.247278646878803,1.1619626216132,0.570162241140309,-0.233800194699748
"115-16","light",100,0.19,0.81972866522414,0.754069610627242,0.47978711914245,0.820985652695577,0.644826780614363,0.533977875152205,0.739902918085139,0.686180728464556,0.651288045863078
"115-17","light",100,0.26,0.974007719028896,0.478718464447805,0.141691777328195,0.964436140520486,0.366213322420452,0.247967157040066,0.886525339555224,0.541703171235354,0.282903467203435
"115-18","light",100,0.22,0.795002764569971,0.578628696406436,0.523523822454483,0.81532719939394,0.473362657404525,0.387598229602742,0.796319773206401,0.446091160709884,0.534405513158462
"115-19","light",100,0.16,1.20142795156389,0.66055415054101,0.0182859909305106,1.17395576741628,0.724782467254727,-0.0112872545875591,1.10762306347936,0.749438556343569,0.0883558270725547
"115-20","light",100,0.22,1.04799969790865,0.193935153679841,0.372199531081349,0.992582183103796,0.332976905260626,0.352915359528039,0.97540827724847,0.356662909868543,0.396616646202501
"115-21","light",100,0.2,0.70783001863974,0.656702761515622,0.39546305389363,0.687627664909405,0.687025885295672,0.362048922290528,0.638705333602563,0.746784892075333,0.44038866317748
"115-22","light",100,0.21,1.13142821716224,0.407210686992293,0.470643014629066,1.12858936329016,0.496489710841333,0.399996216290692,1.07913101515757,0.579955413077421,0.4764513538126
"115-23","light",100,0.23,0.761590341568155,0.727975452014198,0.629181523038803,0.827760544847967,0.509277610609312,0.633814997774735,0.745733364012977,0.539128714523518,0.756950238206263
"115-24","light",100,0.11,1.09136284841067,0.825202310222626,0.137623858686367,1.03722146929595,1.03685504464345,0.143277834011153,1.01476367747722,1.11022080897925,0.157300699860016
"115-25","light",100,0.15,1.05840644981082,0.459010072188585,0.0967634917314813,1.05629859579753,0.440070284082805,0.153507675445857,1.07219972504239,0.381837963538295,0.171225554850519
"115-26","light",100,0.16,1.06788032900823,0.526820864103897,0.089362483935241,1.06011535158589,0.493768767772367,0.0896638367818328,1.00970194155879,0.563122600551612,0.142780003783731
"115-27","light",100,0.19,1.1607198985848,0.315855771746636,0.128514228660946,1.14672371256733,0.332105500844998,0.121624784677648,1.11336333401661,0.378565337205204,0.144429146887529
"115-28","light",100,0.28,1.32426564172451,0.29039148780388,0.0555377538775852,1.36573381271287,0.169815433199979,0.0759522090431925,1.36554940870136,0.15978419010468,0.0953164391632572
"115-29","light",100,0.19,0.860388500760501,0.614311003947431,0.23470260058897,0.911741572854969,0.51776110620781,0.225733027213392,0.86605250987516,0.580700784782743,0.280191732029759
